Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Togo,TGO,2022,54.17,111,54.48,133,77.78,63.16,47.08,57.02,61.26,74.86,74.84,57.16,37.31,61.04,32.75,48.16,57.60,22.33,40.21,27.57,56.56,54.67,71.00,78.34,22.37,70.83
Togo,TGO,2021,54.63,108,54.48,134,83.33,63.16,47.08,57.02,62.65,74.86,74.84,57.16,37.31,61.04,32.75,48.16,57.60,22.33,40.21,27.57,56.56,54.67,71.00,78.34,22.37,70.83
Togo,TGO,2020,55.98,105,54.27,136,83.33,68.42,47.08,57.02,63.97,79.74,74.84,66.12,37.82,64.63,31.80,45.83,57.60,22.19,39.36,27.07,56.56,54.67,71.00,78.31,22.37,69.91
Togo,TGO,2019,51.17,120,55.21,132,83.33,68.42,47.08,52.34,62.79,77.30,53.68,65.19,29.12,56.32,29.13,45.77,41.63,21.03,34.39,27.19,56.00,54.67,71.00,85.05,22.37,70.17
Togo,TGO,2018,52.53,119,54.96,132,83.33,68.42,50.88,52.34,63.74,80.99,52.52,66.43,32.23,58.04,27.68,46.29,41.63,27.56,35.79,26.67,55.48,54.67,70.44,85.05,21.58,70.83
Togo,TGO,2017,52.99,117,54.17,136,83.33,63.16,46.00,52.55,61.26,80.13,52.77,69.82,44.46,61.80,27.13,46.53,41.63,28.35,35.91,26.24,54.97,53.04,69.58,85.05,20.81,69.51
Togo,TGO,2016,54.77,112,54.34,134,83.33,52.63,38.53,56.92,57.85,80.21,56.51,81.57,44.04,65.58,27.93,60.90,46.97,27.72,40.88,25.92,54.47,53.04,68.99,88.01,20.05,69.91
Togo,TGO,2015,54.24,114,53.99,136,83.33,52.63,36.91,56.82,57.42,80.62,55.01,81.57,44.04,65.31,26.28,59.71,46.97,26.99,39.99,25.39,53.92,53.04,68.38,87.53,19.30,70.37
Togo,TGO,2014,52.64,117,52.83,142,83.33,36.84,35.01,59.21,53.60,80.38,54.79,80.23,42.90,64.57,23.71,61.01,46.97,27.26,39.74,24.85,53.27,46.26,67.88,88.36,18.16,71.02
Togo,TGO,2013,50.89,119,52.12,143,76.39,36.84,33.65,55.98,50.72,77.60,53.96,80.23,42.90,63.67,21.92,57.23,46.97,27.04,38.29,24.28,52.49,46.26,67.09,87.23,17.04,70.43
