Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Thailand,THA,2022,47.44,128,68.93,69,70.83,57.89,45.18,67.33,60.31,41.43,34.95,37.08,36.81,37.57,44.40,53.34,25.61,54.39,44.43,65.20,86.43,71.96,80.62,80.97,48.45,48.88
Thailand,THA,2021,47.44,127,68.93,69,70.83,57.89,45.18,67.33,60.31,41.43,34.95,37.08,36.81,37.57,44.40,53.34,25.61,54.39,44.43,65.20,86.43,71.96,80.62,80.97,48.45,48.88
Thailand,THA,2020,50.55,120,67.96,72,70.83,57.89,45.18,67.33,60.31,41.43,34.95,42.12,73.16,47.92,44.14,52.74,25.61,51.26,43.44,64.95,86.43,71.96,80.62,77.02,48.45,46.25
Thailand,THA,2019,50.78,122,68.13,71,63.89,57.89,44.64,73.15,59.89,42.95,41.76,38.52,67.98,47.80,44.99,54.60,25.61,53.32,44.63,66.15,86.07,72.20,80.62,77.02,48.45,46.39
Thailand,THA,2018,42.85,140,67.51,77,63.89,57.89,44.37,70.97,59.28,45.53,39.43,20.19,2.59,26.93,45.13,48.20,25.61,50.39,42.33,65.82,85.66,68.69,81.23,77.02,46.16,48.03
Thailand,THA,2017,41.22,144,67.12,81,63.89,52.63,44.50,71.18,58.05,42.58,39.86,14.21,2.59,24.81,45.32,49.15,17.17,51.51,40.79,65.13,85.19,68.46,81.90,76.31,45.55,47.31
Thailand,THA,2016,41.55,145,67.08,77,63.89,52.63,45.45,69.82,57.95,41.80,41.44,18.02,3.11,26.09,44.91,44.38,20.14,53.04,40.61,64.46,84.67,67.52,82.18,78.13,44.94,47.63
Thailand,THA,2015,40.73,145,67.12,72,63.89,47.37,46.81,69.51,56.89,42.73,42.83,14.93,2.90,25.85,43.81,44.26,17.11,52.59,39.44,63.91,84.09,69.63,82.60,78.13,44.61,46.85
Thailand,THA,2014,41.64,145,66.63,76,63.89,47.37,42.06,69.61,55.73,41.75,45.35,19.77,3.21,27.52,44.28,46.04,22.11,54.27,41.68,63.43,83.45,67.29,82.64,78.13,44.26,47.24
Thailand,THA,2013,56.09,105,65.30,85,63.89,42.11,43.01,65.97,53.74,56.59,56.10,59.94,88.29,65.23,44.54,37.83,43.27,71.54,49.30,63.33,82.76,65.42,82.41,79.10,36.32,47.77
Thailand,THA,2012,59.92,94,64.76,87,63.89,42.11,43.96,67.53,54.37,84.01,61.45,67.46,90.05,75.74,43.91,39.76,43.27,71.66,49.65,62.94,82.04,61.92,81.78,81.42,36.24,46.98
Thailand,THA,2011,59.38,95,64.89,81,63.89,42.11,44.78,67.12,54.47,81.36,60.84,66.01,87.77,74.00,44.12,41.44,43.15,70.02,49.68,61.76,81.29,66.12,81.26,81.42,36.37,45.99
Thailand,THA,2010,57.10,99,63.74,86,63.89,42.11,46.81,66.91,54.93,79.70,56.53,57.67,83.11,69.25,43.87,35.18,43.15,66.24,47.11,61.70,80.53,61.68,81.01,81.42,35.24,44.61
Thailand,THA,2009,57.24,98,62.99,86,63.89,31.58,50.20,67.64,53.33,79.70,59.58,58.39,83.11,70.20,45.47,35.55,43.15,68.68,48.21,60.48,79.75,61.21,81.55,81.42,34.48,42.05
Thailand,THA,2008,58.19,98,62.88,86,63.89,31.58,53.19,68.89,54.39,79.36,59.58,58.91,86.63,71.12,43.73,38.64,43.15,70.75,49.07,60.69,78.96,59.58,81.72,81.42,33.59,44.22
Thailand,THA,2007,50.06,118,62.50,86,63.89,31.58,54.68,66.60,54.19,42.39,59.45,50.15,35.34,46.83,45.51,41.86,40.17,69.07,49.15,60.48,78.16,60.75,81.63,80.39,32.98,43.10
Thailand,THA,2006,49.71,118,61.11,90,63.89,31.58,54.41,67.22,54.27,46.28,58.81,54.89,29.53,47.38,46.65,41.51,39.33,62.43,47.48,59.63,77.39,56.07,81.10,80.39,31.00,42.18
