Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Tajikistan,TJK,2022,36.14,156,56.63,125,80.56,26.32,42.33,67.12,54.08,57.39,29.68,15.65,2.38,26.28,25.66,52.09,16.77,17.69,28.05,38.18,75.15,74.30,73.26,28.39,46.29,60.84
Tajikistan,TJK,2021,36.14,155,56.63,126,80.56,26.32,42.33,67.12,54.08,57.39,29.68,15.65,2.38,26.28,25.66,52.09,16.77,17.69,28.05,38.18,75.15,74.30,73.26,28.39,46.29,60.84
Tajikistan,TJK,2020,35.61,155,57.81,123,80.56,26.32,42.33,67.12,54.08,56.27,28.93,12.05,1.76,24.75,24.61,54.13,14.16,19.13,28.01,36.99,75.15,74.30,73.26,37.29,46.29,61.37
Tajikistan,TJK,2019,35.68,155,57.24,125,80.56,26.32,42.33,68.16,54.34,55.23,29.06,11.23,3.21,24.68,20.91,53.85,17.23,20.07,28.01,36.62,74.77,74.30,73.26,34.49,46.29,60.97
Tajikistan,TJK,2018,35.89,156,56.57,127,80.56,26.32,42.74,65.04,53.66,55.20,28.32,12.77,4.15,25.11,19.54,49.26,22.63,24.13,28.89,35.77,74.36,74.30,72.55,36.25,46.29,56.44
Tajikistan,TJK,2017,33.98,158,56.06,128,73.61,26.32,41.52,57.86,49.83,55.23,30.01,12.77,3.11,25.28,20.22,50.76,15.81,20.60,26.85,34.89,73.93,74.30,71.08,34.73,46.30,57.16
Tajikistan,TJK,2016,33.89,160,55.83,128,73.61,26.32,39.89,62.33,50.54,56.63,26.93,13.70,3.21,25.12,23.23,48.64,11.14,21.04,26.01,34.10,73.46,74.30,70.49,34.88,45.97,57.62
Tajikistan,TJK,2015,34.85,157,55.76,128,73.61,26.32,39.76,62.23,50.48,56.73,32.93,22.14,3.21,28.75,25.41,46.52,9.15,20.23,25.33,33.34,72.98,74.30,70.37,34.88,45.65,58.80
Tajikistan,TJK,2014,36.65,156,57.89,119,73.61,26.32,42.47,62.54,51.23,57.37,37.47,24.30,3.21,30.59,26.02,50.35,15.30,20.80,28.12,32.72,72.49,81.78,70.23,41.80,45.32,60.91
Tajikistan,TJK,2013,34.90,159,57.65,118,73.61,21.05,40.98,59.83,48.87,57.96,37.75,26.47,3.21,31.35,21.39,40.45,15.30,20.80,24.48,31.98,71.99,81.78,70.00,42.23,45.00,60.58
Tajikistan,TJK,2012,36.23,160,57.24,118,73.61,21.05,48.17,53.07,48.98,59.85,39.12,31.20,4.35,33.63,22.81,39.27,20.21,22.04,26.08,31.11,71.49,81.78,69.02,42.13,44.50,60.64
Tajikistan,TJK,2011,36.80,158,56.73,119,73.61,21.05,42.33,59.31,49.08,60.24,40.45,31.62,4.35,34.17,23.14,43.67,20.21,21.54,27.14,30.22,70.96,81.78,68.26,42.13,43.89,59.86
Tajikistan,TJK,2010,36.81,156,56.41,118,73.61,26.32,41.52,57.02,49.62,60.03,40.12,32.23,4.35,34.19,22.66,43.45,20.21,20.23,26.64,29.33,70.36,81.78,68.00,42.13,43.84,59.40
Tajikistan,TJK,2009,37.89,154,56.72,113,73.61,31.58,41.52,57.02,50.93,61.43,43.63,33.57,5.39,36.01,21.55,43.63,20.55,21.15,26.72,28.59,69.66,81.78,67.95,46.62,43.63,58.80
Tajikistan,TJK,2008,38.32,152,56.15,112,73.61,31.58,41.52,57.02,50.93,61.43,43.49,34.19,5.39,36.12,22.31,47.58,20.55,21.15,27.90,28.29,68.82,78.50,67.13,46.62,43.42,60.25
Tajikistan,TJK,2007,38.52,151,55.62,113,73.61,31.58,41.52,57.02,50.93,61.27,42.66,34.29,5.39,35.90,23.59,49.17,20.55,21.60,28.73,27.29,67.83,78.50,66.47,47.59,42.16,59.53
Tajikistan,TJK,2006,37.62,153,54.72,115,73.61,31.58,41.52,57.02,50.93,60.19,43.05,35.22,6.74,36.30,24.09,36.33,20.55,21.60,25.64,26.29,66.69,75.23,66.06,48.33,42.08,58.34
Tajikistan,TJK,2005,37.51,153,54.07,116,73.61,31.58,41.52,57.02,50.93,60.70,43.19,34.91,8.19,36.75,21.67,36.20,20.55,21.04,24.86,25.43,65.40,75.23,65.49,48.33,41.31,57.29
Tajikistan,TJK,2004,38.89,149,56.39,105,73.61,31.58,41.52,57.02,50.93,63.45,44.22,37.18,10.57,38.86,21.85,37.92,26.74,21.04,26.89,24.60,63.98,75.23,64.65,68.14,40.44,57.69
Tajikistan,TJK,2003,39.62,148,56.14,104,73.61,31.58,41.52,57.02,50.93,62.73,43.04,41.50,12.44,39.93,22.08,42.13,26.74,21.04,28.00,23.16,62.45,77.34,62.82,68.14,40.07,59.00
Tajikistan,TJK,2002,39.46,148,56.15,101,73.61,31.58,41.52,57.02,50.93,60.88,43.04,41.50,12.44,39.46,20.87,44.50,25.48,21.04,27.97,21.60,60.88,84.81,60.60,68.14,38.33,58.67
Tajikistan,TJK,2001,38.50,147,55.26,104,73.61,31.58,41.52,57.02,50.93,60.05,43.52,42.95,13.58,40.02,20.68,31.03,25.48,21.04,24.56,20.06,59.30,84.81,58.37,68.14,37.23,58.94
Tajikistan,TJK,2000,38.03,149,54.64,105,73.61,31.58,41.52,57.02,50.93,58.65,43.19,39.34,11.50,38.17,20.68,31.03,26.66,21.61,24.99,18.70,57.74,84.81,57.03,68.14,36.61,59.46
Tajikistan,TJK,1999,35.78,154,52.84,111,73.61,31.58,41.52,57.02,50.93,55.99,45.77,28.42,7.98,34.54,18.86,27.11,21.46,20.02,21.86,17.54,56.22,84.81,55.42,57.25,35.80,62.81
Tajikistan,TJK,1998,35.40,154,52.42,112,73.61,31.58,41.52,57.02,50.93,55.26,44.83,25.54,7.98,33.40,18.86,27.11,21.46,20.04,21.87,17.16,54.76,84.81,54.23,57.25,36.02,62.68
Tajikistan,TJK,1997,31.36,158,52.35,111,61.11,31.58,41.52,57.02,47.81,54.09,37.93,14.52,7.98,28.63,18.06,21.53,10.86,20.10,17.64,16.50,53.40,84.81,53.88,57.25,36.23,64.39
Tajikistan,TJK,1996,30.89,158,52.19,111,61.11,31.58,41.52,57.02,47.81,53.86,36.56,10.50,7.98,27.22,18.06,21.53,10.86,20.10,17.64,16.46,52.20,84.81,52.48,57.25,36.43,65.70
Tajikistan,TJK,1995,30.85,158,52.46,106,61.11,31.58,41.52,57.02,47.81,53.86,36.56,10.81,7.98,27.30,18.06,21.53,10.86,19.35,17.45,20.03,51.25,84.81,49.72,57.25,36.61,67.54
