Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Turkmenistan,TKM,2022,19.40,169,59.74,115,,10.53,,0.00,5.26,52.38,26.55,4.22,4.46,21.90,21.29,57.93,20.83,24.14,31.05,63.07,69.57,58.41,76.01,34.59,52.24,64.26
Turkmenistan,TKM,2021,19.40,169,59.74,115,,10.53,,0.00,5.26,52.38,26.55,4.22,4.46,21.90,21.29,57.93,20.83,24.14,31.05,63.07,69.57,58.41,76.01,34.59,52.24,64.26
Turkmenistan,TKM,2020,19.32,170,59.61,117,,10.53,,0.00,5.26,52.38,26.80,4.94,4.04,22.04,20.70,60.33,20.83,20.78,30.66,63.07,69.57,58.41,76.01,34.63,52.24,63.34
Turkmenistan,TKM,2019,20.18,169,59.85,117,,10.53,,0.00,5.26,52.38,32.90,4.33,4.04,23.41,21.39,60.64,25.49,19.94,31.86,63.07,69.34,58.41,76.01,37.78,51.13,63.21
Turkmenistan,TKM,2018,17.58,169,59.61,117,,0.00,,0.00,0.00,52.27,27.28,4.33,0.00,20.97,20.74,64.13,25.49,16.67,31.76,62.25,69.12,58.41,75.83,37.78,50.64,63.21
Turkmenistan,TKM,2017,17.46,169,59.32,116,,0.00,,0.00,0.00,51.89,27.88,4.22,0.00,21.00,21.72,61.84,25.49,16.44,31.37,61.45,68.91,58.41,75.88,37.78,50.15,62.68
Turkmenistan,TKM,2016,16.74,170,58.46,120,,0.00,,0.00,0.00,51.63,23.87,3.09,0.00,19.65,22.46,60.55,25.49,13.76,30.57,60.62,68.68,58.41,75.28,34.71,49.67,61.89
Turkmenistan,TKM,2015,17.31,170,57.98,120,,0.00,,0.00,0.00,51.63,23.87,2.78,0.00,19.57,27.64,62.61,25.49,13.64,32.35,59.85,68.44,58.41,74.94,34.71,48.28,61.24
Turkmenistan,TKM,2014,17.65,170,57.67,120,,0.00,,0.00,0.00,51.63,23.87,2.88,0.00,19.60,28.38,65.89,25.49,13.64,33.35,59.03,68.15,58.41,75.40,34.71,46.90,61.10
Turkmenistan,TKM,2013,16.73,171,57.28,120,,0.00,,0.00,0.00,51.68,23.87,2.88,0.00,19.61,20.79,69.44,18.47,13.64,30.58,57.60,67.82,58.41,76.17,34.71,45.53,60.71
Turkmenistan,TKM,2012,16.81,171,56.84,121,,0.00,,0.00,0.00,51.68,25.33,3.19,0.00,20.05,20.53,73.06,18.47,9.50,30.39,56.18,67.43,58.41,77.20,34.71,44.16,59.79
Turkmenistan,TKM,2011,16.02,172,56.35,120,,0.00,,0.00,0.00,51.61,25.33,3.19,0.00,20.03,14.99,69.13,18.47,9.50,28.02,54.61,66.99,58.41,77.79,34.71,42.80,59.13
Turkmenistan,TKM,2010,16.16,172,55.81,122,,0.00,,0.00,0.00,51.61,25.33,2.88,0.00,19.96,14.99,71.16,18.47,9.50,28.53,52.44,66.48,58.41,78.58,34.71,41.45,58.61
Turkmenistan,TKM,2009,18.41,172,55.15,121,,10.53,,0.00,5.26,51.61,25.33,2.27,0.00,19.80,16.48,74.22,20.49,9.50,30.17,51.14,65.92,58.41,78.22,34.71,40.11,57.56
Turkmenistan,TKM,2008,18.73,172,54.41,121,,10.53,,0.00,5.26,51.25,26.72,2.27,1.45,20.42,16.73,75.28,20.49,9.50,30.50,50.34,65.31,58.41,76.57,34.71,38.78,56.77
Turkmenistan,TKM,2007,16.00,172,53.69,122,,10.53,,0.00,5.26,26.26,26.72,2.06,1.45,14.12,16.60,70.01,18.54,9.34,28.62,48.11,64.69,58.41,76.46,34.71,37.45,55.98
Turkmenistan,TKM,2006,13.73,172,53.14,122,,10.53,,0.00,5.26,26.44,21.95,1.34,1.45,12.79,15.52,59.44,8.84,8.73,23.13,46.44,64.05,58.41,76.77,34.71,36.13,55.45
Turkmenistan,TKM,2005,17.66,172,52.50,121,,31.58,,0.00,15.79,26.49,20.57,1.34,1.45,12.46,15.58,65.86,8.84,8.61,24.72,44.77,63.42,58.41,76.85,34.71,35.08,54.27
Turkmenistan,TKM,2004,17.38,172,52.18,121,,31.58,,0.00,15.79,24.83,21.64,1.34,1.45,12.31,16.64,62.06,8.84,8.61,24.04,42.76,62.82,58.41,77.37,34.71,35.08,54.14
Turkmenistan,TKM,2003,17.98,172,51.84,121,,31.58,,0.00,15.79,24.78,21.15,1.34,1.45,12.18,20.98,65.47,8.84,8.61,25.97,42.06,62.24,58.41,77.17,34.71,35.08,53.22
Turkmenistan,TKM,2002,18.03,172,51.57,120,,31.58,,0.00,15.79,24.78,21.15,1.75,1.45,12.28,20.80,65.82,8.84,8.61,26.02,41.66,61.71,58.41,76.50,34.71,35.08,52.96
Turkmenistan,TKM,2001,18.09,172,51.32,121,,31.58,,0.00,15.79,24.78,21.15,1.75,1.45,12.28,22.84,64.56,8.84,8.61,26.21,41.80,61.23,58.41,76.26,34.71,35.08,51.77
Turkmenistan,TKM,2000,18.17,172,51.04,119,,31.58,,0.00,15.79,24.78,22.03,1.75,1.45,12.50,22.84,64.56,8.84,8.61,26.21,41.22,60.80,58.41,75.67,34.71,35.08,51.38
Turkmenistan,TKM,1999,19.54,171,50.73,119,,31.58,,0.00,15.79,26.74,22.03,1.65,1.45,12.97,23.53,68.39,18.94,8.61,29.87,40.46,60.43,58.41,74.67,34.71,35.08,51.38
Turkmenistan,TKM,1998,21.64,169,50.16,120,,31.58,,0.00,15.79,51.89,22.03,1.65,1.45,19.25,23.53,68.39,18.94,8.61,29.87,37.92,60.10,58.41,73.52,34.71,35.08,51.38
