Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Tunisia,TUN,2022,63.97,78,67.57,78,45.83,47.37,46.81,59.31,49.83,83.58,77.10,87.44,95.96,86.02,42.69,50.31,51.34,79.93,56.06,56.10,85.58,77.10,78.16,66.32,40.08,69.65
Tunisia,TUN,2021,63.97,78,67.57,78,45.83,47.37,46.81,59.31,49.83,83.58,77.10,87.44,95.96,86.02,42.69,50.31,51.34,79.93,56.06,56.10,85.58,77.10,78.16,66.32,40.08,69.65
Tunisia,TUN,2020,66.28,73,67.45,78,45.83,47.37,46.81,59.31,49.83,93.13,75.29,86.82,98.45,88.42,44.48,52.65,57.32,87.90,60.59,55.68,85.58,77.10,78.16,66.26,40.08,69.25
Tunisia,TUN,2019,66.24,72,67.58,76,45.83,47.37,46.27,65.66,51.28,93.23,74.18,87.95,96.68,88.01,45.78,46.78,57.32,87.87,59.44,57.52,85.22,77.10,78.16,66.26,40.08,68.73
Tunisia,TUN,2018,66.23,72,67.46,78,45.83,47.37,46.13,69.41,52.19,93.28,72.81,87.95,96.68,87.68,46.28,46.80,54.52,87.66,58.82,57.48,84.86,77.10,78.66,66.26,39.38,68.46
Tunisia,TUN,2017,65.85,75,67.28,80,45.83,36.84,47.63,67.53,49.46,93.28,77.68,86.71,96.68,88.59,45.32,43.65,62.02,87.04,59.50,57.22,84.50,77.10,79.05,66.26,38.69,68.13
Tunisia,TUN,2016,64.27,79,67.16,75,45.83,36.84,47.08,68.68,49.61,93.56,74.55,85.79,98.13,88.01,43.67,41.28,49.95,85.82,55.18,57.03,84.13,77.10,79.18,66.42,38.02,68.27
Tunisia,TUN,2015,64.50,79,67.02,75,45.83,36.84,47.08,67.64,49.35,93.21,73.27,85.99,98.13,87.65,45.74,44.95,49.95,85.43,56.51,57.03,83.77,77.10,79.13,66.42,36.81,68.86
Tunisia,TUN,2014,64.03,81,66.12,80,45.83,36.84,45.59,71.18,49.86,93.73,67.41,87.02,98.13,86.57,46.16,47.15,48.47,80.86,55.66,57.04,83.42,70.09,79.11,66.90,35.90,70.37
Tunisia,TUN,2013,63.23,81,65.83,81,45.83,36.84,44.37,68.47,48.88,95.13,67.69,89.29,92.23,86.08,46.01,46.12,47.93,78.81,54.72,56.68,83.08,70.09,79.00,66.60,35.37,69.97
Tunisia,TUN,2012,63.91,79,65.84,78,45.83,36.84,44.50,69.41,49.15,95.32,72.69,89.70,91.50,87.30,46.19,49.79,48.83,76.31,55.28,56.42,82.76,70.09,78.99,67.87,34.58,70.17
Tunisia,TUN,2011,61.71,86,65.76,73,45.83,36.84,57.80,61.50,50.49,75.95,71.58,85.58,77.93,77.76,46.85,57.23,48.83,74.63,56.88,55.85,82.44,70.09,78.95,67.87,34.82,70.30
Tunisia,TUN,2010,41.76,144,62.86,92,45.83,36.84,45.86,62.43,47.74,57.77,35.19,21.52,17.20,32.92,47.40,63.10,35.08,32.89,44.62,56.40,82.13,70.09,79.04,47.85,33.57,70.96
Tunisia,TUN,2009,40.93,144,61.81,96,45.83,31.58,49.53,60.77,46.93,57.28,35.17,20.49,17.20,32.54,50.01,65.60,32.50,25.23,43.33,56.06,81.83,65.65,79.48,46.85,32.47,70.30
Tunisia,TUN,2008,41.28,144,61.86,93,45.83,31.58,48.85,66.39,48.16,57.28,35.17,20.49,17.20,32.54,48.44,66.41,32.50,25.23,43.15,55.71,81.53,65.65,79.93,46.85,31.66,71.68
Tunisia,TUN,2007,41.32,143,61.39,92,45.83,31.58,50.61,61.50,47.38,57.28,35.17,20.49,17.20,32.54,50.85,67.60,32.50,25.23,44.04,55.16,81.23,65.65,80.44,46.85,30.60,69.78
Tunisia,TUN,2006,41.63,143,60.88,92,45.83,31.58,50.34,61.39,47.29,57.28,35.24,20.39,17.20,32.53,54.01,68.61,32.50,25.23,45.09,54.17,80.92,65.65,80.80,46.85,29.58,68.20
Tunisia,TUN,2005,40.92,146,60.47,89,45.83,31.58,49.25,62.02,47.17,57.28,35.13,20.39,17.20,32.50,49.74,64.88,32.50,25.23,43.09,53.41,80.59,65.65,81.04,46.85,28.56,67.15
Tunisia,TUN,2004,42.53,140,59.05,96,45.83,52.63,46.54,58.38,50.85,57.33,35.13,19.88,17.20,32.38,52.26,67.41,32.50,25.23,44.35,52.95,80.25,58.41,81.00,46.85,27.15,66.75
Tunisia,TUN,2003,42.77,140,58.33,96,45.83,52.63,47.35,55.98,50.45,57.35,35.13,19.77,17.20,32.36,53.44,70.83,32.50,25.23,45.50,52.00,79.89,58.41,80.79,46.85,25.62,64.78
Tunisia,TUN,2002,44.44,136,57.90,98,45.83,73.68,47.22,56.19,55.73,57.35,35.13,19.77,17.20,32.36,55.62,67.51,32.50,25.23,45.22,51.30,79.51,58.41,80.54,46.85,24.58,64.13
Tunisia,TUN,2001,44.37,133,57.66,97,45.83,73.68,47.63,62.33,57.37,57.35,35.13,19.46,17.20,32.29,46.78,70.89,32.50,23.68,43.46,51.21,79.09,58.41,80.33,46.85,23.49,64.26
Tunisia,TUN,2000,44.63,133,57.21,99,45.83,73.68,47.76,63.89,57.79,57.35,35.13,19.46,17.20,32.29,46.78,70.89,32.50,25.04,43.80,50.70,78.64,58.41,80.29,46.85,22.21,63.40
Tunisia,TUN,1999,44.18,131,56.10,98,45.83,73.68,47.22,60.67,56.85,57.33,35.13,19.46,17.20,32.28,46.35,69.73,32.50,25.04,43.40,50.04,78.14,56.31,80.47,46.85,21.00,59.92
Tunisia,TUN,1998,44.18,129,55.78,99,45.83,73.68,47.22,60.67,56.85,57.33,35.13,19.46,17.20,32.28,46.35,69.73,32.50,25.04,43.40,49.18,77.59,56.31,80.97,46.85,19.61,59.92
Tunisia,TUN,1997,44.05,131,55.47,99,45.83,73.68,47.22,60.67,56.85,57.33,35.13,19.46,17.20,32.28,44.78,69.71,32.50,25.04,43.01,48.56,76.98,56.31,81.64,46.85,18.04,59.92
Tunisia,TUN,1996,44.05,131,55.23,100,45.83,73.68,47.22,60.67,56.85,57.33,35.13,19.46,17.20,32.28,44.78,69.71,32.50,25.04,43.01,47.85,76.31,56.31,82.30,46.85,17.34,59.66
Tunisia,TUN,1995,44.05,130,54.87,99,45.83,73.68,47.22,60.67,56.85,57.33,35.13,19.46,17.20,32.28,44.78,69.71,32.50,25.04,43.01,46.88,75.55,56.31,82.44,46.85,16.39,59.66
