Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Turkey,TUR,2022,43.62,137,68.22,73,87.50,73.68,43.55,72.01,69.19,65.24,41.31,25.64,23.21,38.85,,,18.16,27.49,22.83,75.66,87.52,55.84,82.09,52.19,55.65,68.59
Turkey,TUR,2021,43.62,137,68.22,73,87.50,73.68,43.55,72.01,69.19,65.24,41.31,25.64,23.21,38.85,,,18.16,27.49,22.83,75.66,87.52,55.84,82.09,52.19,55.65,68.59
Turkey,TUR,2020,43.09,141,67.91,73,87.50,73.68,43.55,72.01,69.19,65.65,41.10,25.95,21.24,38.49,,,19.13,24.04,21.58,73.93,87.52,55.84,82.09,52.16,55.65,68.20
Turkey,TUR,2019,42.62,143,67.72,75,87.50,73.68,43.69,72.63,69.38,65.65,39.94,25.85,15.54,36.75,,,19.13,24.33,21.73,73.81,87.08,55.84,82.09,52.16,55.65,67.41
Turkey,TUR,2018,42.26,141,68.02,73,87.50,78.95,42.61,74.61,70.92,66.70,42.17,24.72,13.26,36.71,,,18.66,19.64,19.15,73.88,86.60,55.84,82.21,52.16,53.91,71.55
Turkey,TUR,2017,40.92,145,67.83,73,87.50,78.95,41.93,74.51,70.72,66.59,39.21,22.35,9.53,34.42,,,19.74,15.50,17.62,73.62,86.09,57.01,81.96,52.70,52.21,71.22
Turkey,TUR,2016,49.42,122,67.14,76,87.50,78.95,44.91,73.88,71.31,67.75,42.56,38.11,30.16,44.64,,,30.15,34.44,32.29,72.61,85.52,55.84,81.51,52.70,50.32,71.48
Turkey,TUR,2015,55.43,108,66.80,76,81.94,78.95,45.73,74.09,70.18,72.75,50.92,47.89,35.54,51.77,,,32.66,56.00,44.33,72.32,84.91,53.50,81.05,55.25,48.35,72.21
Turkey,TUR,2014,56.36,103,66.81,75,81.94,73.68,44.37,74.61,68.65,76.78,59.23,49.64,34.51,55.04,,,33.37,57.42,45.39,71.55,84.24,57.48,80.84,54.31,46.23,73.00
Turkey,TUR,2013,58.47,98,66.89,71,81.94,68.42,46.95,73.88,67.80,81.76,60.52,54.27,42.38,59.74,,,34.25,61.48,47.87,70.99,83.52,59.81,80.93,55.91,43.99,73.06
