Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Taiwan,TWN,2022,81.87,29,83.97,22,94.44,73.68,75.03,65.66,77.21,93.94,94.28,93.00,81.87,90.77,75.88,80.19,74.88,79.64,77.65,88.99,,74.07,82.54,94.21,,80.03
Taiwan,TWN,2021,81.00,30,83.85,23,94.44,63.16,75.03,65.66,74.57,93.94,94.28,93.00,81.87,90.77,75.88,80.19,74.88,79.64,77.65,88.43,,74.07,82.54,94.21,,80.03
Taiwan,TWN,2020,81.45,30,83.51,23,94.44,63.16,75.03,65.66,74.57,93.99,94.28,93.00,82.69,90.99,76.37,80.07,74.88,83.84,78.79,87.29,,74.07,82.54,94.15,,79.50
Taiwan,TWN,2019,82.63,30,83.37,23,94.44,63.16,74.22,82.10,78.48,94.26,95.62,94.75,79.59,91.05,73.67,80.36,74.88,84.53,78.36,86.70,,74.07,82.54,94.15,,79.37
Taiwan,TWN,2018,82.78,30,83.28,24,94.44,63.16,74.22,80.33,78.04,96.10,95.74,94.64,81.66,92.04,72.61,81.53,74.88,84.09,78.28,86.18,,74.07,83.03,94.15,,78.98
Taiwan,TWN,2017,82.75,30,83.36,23,94.44,68.42,73.41,80.44,79.18,96.10,96.57,94.64,79.17,91.62,70.91,81.90,74.88,82.12,77.45,85.71,,74.07,83.35,94.15,,79.50
Taiwan,TWN,2016,83.77,28,83.16,23,94.44,78.95,73.54,79.40,81.58,95.87,95.59,94.95,81.55,91.99,70.92,83.13,74.88,81.95,77.72,85.15,,74.07,82.95,94.15,,79.50
Taiwan,TWN,2015,82.57,30,83.07,22,94.44,78.95,72.73,77.94,81.01,94.55,96.55,93.51,79.59,91.05,70.09,83.03,73.08,76.36,75.64,84.80,,74.07,82.96,94.15,,79.37
Taiwan,TWN,2014,80.28,36,83.04,22,80.56,73.68,67.98,77.42,74.91,94.55,96.55,93.51,79.59,91.05,70.16,79.91,73.08,76.36,74.88,84.58,,74.07,83.02,94.15,,79.37
Taiwan,TWN,2013,79.25,38,82.73,22,80.56,68.42,62.69,76.90,72.14,94.47,96.28,93.51,79.59,90.96,67.06,82.07,73.08,76.36,74.64,83.76,,74.07,84.13,94.15,,77.53
Taiwan,TWN,2012,79.91,37,82.61,23,80.56,68.42,63.50,76.48,72.24,94.34,96.15,93.41,82.28,91.54,66.96,82.44,80.38,73.97,75.94,83.37,,74.07,84.58,94.15,,76.87
Taiwan,TWN,2011,79.97,36,82.59,23,80.56,68.42,64.04,75.96,72.25,94.31,96.15,93.20,82.28,91.49,68.61,83.56,80.38,72.20,76.19,83.02,,74.07,84.99,94.15,,76.74
Taiwan,TWN,2010,79.71,36,82.55,23,80.56,68.42,64.18,75.86,72.25,94.31,96.15,93.20,82.28,91.49,67.47,81.74,80.38,71.98,75.39,82.41,,74.07,85.89,94.15,,76.22
Taiwan,TWN,2009,78.49,37,81.47,23,69.44,73.68,63.50,75.44,70.52,94.24,95.70,92.48,82.28,91.18,65.91,75.92,80.38,72.84,73.76,80.53,,74.07,85.96,94.15,,72.67
Taiwan,TWN,2008,79.48,35,81.85,22,69.44,73.68,63.09,75.55,70.44,95.41,95.70,92.48,82.28,91.47,64.46,81.42,80.38,79.87,76.54,80.88,,74.07,85.62,94.15,,74.51
Taiwan,TWN,2007,79.19,35,81.88,21,69.44,73.68,62.42,75.13,70.17,94.38,95.70,92.48,87.05,92.40,64.31,75.58,80.38,79.69,74.99,80.81,,74.07,85.49,94.15,,74.90
Taiwan,TWN,2006,79.42,36,81.38,21,69.44,73.68,61.74,75.65,70.13,94.38,95.70,91.97,87.05,92.27,65.26,78.07,80.38,79.69,75.85,79.61,,74.07,85.34,94.15,,73.72
Taiwan,TWN,2005,79.44,35,80.96,20,69.44,73.68,61.87,76.17,70.29,94.20,95.70,91.97,87.05,92.23,65.18,77.99,80.38,79.69,75.81,78.64,,74.07,84.86,94.15,,73.06
Taiwan,TWN,2004,78.99,35,80.69,20,69.44,52.63,60.92,90.53,68.38,94.12,95.70,93.10,87.05,92.49,67.51,76.80,80.38,79.69,76.10,77.75,,74.07,85.09,94.15,,72.40
Taiwan,TWN,2003,78.13,35,80.08,20,58.33,52.63,60.79,91.78,65.88,95.01,95.70,93.10,87.05,92.72,65.75,77.30,80.38,79.69,75.78,76.57,,74.07,85.33,94.15,,70.30
Taiwan,TWN,2002,76.65,38,79.77,20,47.22,52.63,55.50,92.61,61.99,95.01,95.70,93.72,87.05,92.87,61.72,78.54,80.38,79.69,75.08,75.92,,74.07,85.35,94.15,,69.38
Taiwan,TWN,2001,76.13,41,79.36,20,47.22,52.63,54.00,91.16,61.25,94.58,95.70,93.72,87.05,92.76,62.13,75.27,80.38,79.69,74.37,75.03,,74.07,85.23,94.15,,68.33
Taiwan,TWN,2000,76.09,40,78.99,20,47.22,52.63,54.14,90.95,61.23,94.32,95.70,93.61,87.05,92.67,62.13,75.27,80.38,79.69,74.37,75.40,,74.07,85.38,94.15,,65.97
Taiwan,TWN,1999,69.26,51,78.83,19,40.28,52.63,50.61,80.44,55.99,88.53,84.84,84.14,75.03,83.13,61.94,83.78,68.74,60.21,68.67,74.33,,74.07,85.67,94.15,,65.97
Taiwan,TWN,1998,69.13,52,78.60,18,40.28,52.63,50.61,80.44,55.99,88.28,84.84,82.80,75.03,82.74,61.94,83.78,68.74,60.21,68.67,73.17,,74.07,85.64,94.15,,65.97
Taiwan,TWN,1997,68.96,53,78.49,18,40.28,52.63,50.61,80.44,55.99,87.24,84.84,82.39,75.03,82.37,59.34,85.79,68.74,60.21,68.52,72.49,,74.07,85.80,94.15,,65.97
Taiwan,TWN,1996,67.66,54,78.23,18,33.33,52.63,50.61,80.44,54.25,84.85,84.84,79.61,71.50,80.20,59.34,85.79,68.74,60.21,68.52,71.46,,74.07,85.52,94.15,,65.97
Taiwan,TWN,1995,65.07,58,78.08,18,33.33,52.63,50.61,80.44,54.25,57.42,84.84,76.00,71.50,72.44,59.34,85.79,68.74,60.21,68.52,70.43,,74.07,85.79,94.15,,65.97
