Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Tanzania,TZA,2022,62.49,87,52.59,149,77.78,57.89,51.02,62.64,62.33,73.16,69.54,60.66,73.78,69.28,36.49,55.55,56.72,74.69,55.86,31.33,64.91,59.11,72.66,71.75,20.16,48.23
Tanzania,TZA,2021,62.49,87,52.59,150,77.78,57.89,51.02,62.64,62.33,73.16,69.54,60.66,73.78,69.28,36.49,55.55,56.72,74.69,55.86,31.33,64.91,59.11,72.66,71.75,20.16,48.23
Tanzania,TZA,2020,62.06,88,51.84,154,77.78,57.89,51.02,62.64,62.33,74.52,65.58,57.05,76.17,68.33,35.61,54.95,56.72,74.75,55.51,31.10,64.91,59.11,72.66,68.59,20.16,46.39
Tanzania,TZA,2019,61.12,92,51.83,154,77.78,57.89,50.47,62.64,62.20,73.17,67.01,58.50,72.95,67.91,34.24,56.83,56.72,65.26,53.26,31.27,64.24,59.11,72.66,68.59,19.35,47.57
Tanzania,TZA,2018,61.65,93,51.72,156,77.78,57.89,49.93,62.75,62.09,72.37,68.45,62.51,84.56,71.97,34.11,52.83,56.72,59.91,50.89,30.79,63.42,59.11,71.79,68.59,18.05,50.33
Tanzania,TZA,2017,62.80,88,52.86,146,77.78,57.89,53.46,62.02,62.79,73.93,69.44,65.09,80.93,72.35,35.05,53.01,58.19,66.82,53.27,30.37,62.42,65.42,70.76,74.84,16.80,49.41
Tanzania,TZA,2016,63.57,83,52.43,146,77.78,63.16,53.32,61.29,63.89,73.67,70.94,65.40,81.24,72.81,35.35,55.46,58.19,67.05,54.01,29.72,61.23,65.42,69.63,74.84,16.87,49.28
Tanzania,TZA,2015,65.55,75,52.12,146,77.78,63.16,52.92,62.33,64.05,76.61,73.82,74.56,90.67,78.92,32.80,55.97,59.06,66.92,53.69,29.06,59.86,65.42,68.58,76.46,16.93,48.49
Tanzania,TZA,2014,64.82,79,51.83,146,77.78,63.16,48.17,63.06,63.04,79.38,75.37,76.31,90.98,80.51,31.58,52.30,55.08,64.69,50.91,28.53,58.33,65.42,68.14,76.46,16.85,49.08
Tanzania,TZA,2013,65.33,72,51.05,148,77.78,57.89,47.90,65.14,62.18,79.95,76.18,76.21,90.98,80.83,30.78,61.11,55.08,64.97,52.99,27.89,56.67,65.42,66.75,76.46,16.76,47.44
Tanzania,TZA,2012,66.48,71,50.98,144,77.78,57.89,48.44,64.31,62.11,79.95,76.79,77.03,90.88,81.16,31.08,65.43,61.47,66.67,56.16,27.25,54.93,65.42,65.84,81.36,16.67,45.40
Tanzania,TZA,2011,67.16,66,50.44,145,77.78,63.16,49.25,64.72,63.73,79.95,76.94,77.14,91.61,81.41,33.33,63.90,61.47,66.67,56.34,26.99,53.17,65.42,65.44,81.36,16.59,44.09
