Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Uganda,UGA,2022,52.72,115,47.57,167,59.72,57.89,39.76,72.11,57.37,68.95,31.88,47.37,66.63,53.71,29.77,46.99,50.23,61.30,47.07,27.70,60.99,53.97,,61.98,16.39,64.39
Uganda,UGA,2021,52.72,114,48.76,162,59.72,57.89,39.76,72.11,57.37,68.95,31.88,47.37,66.63,53.71,29.77,46.99,50.23,61.30,47.07,27.70,60.99,53.97,,65.58,19.95,64.39
Uganda,UGA,2020,54.36,112,53.61,143,59.72,57.89,39.76,72.11,57.37,72.92,38.19,52.52,72.02,58.91,29.20,48.00,50.23,59.81,46.81,27.64,60.99,53.97,77.34,70.89,19.95,64.52
Uganda,UGA,2019,53.12,116,53.52,143,52.78,57.89,38.53,80.75,57.49,70.82,37.93,49.54,68.19,56.62,27.61,50.40,45.07,57.93,45.25,27.70,60.34,53.97,77.34,71.35,19.95,63.99
Uganda,UGA,2018,53.79,115,53.92,141,52.78,63.16,36.91,81.37,58.55,70.58,38.56,52.83,68.81,57.70,28.41,50.17,45.07,56.83,45.12,27.22,59.61,53.74,76.37,75.53,20.00,64.98
Uganda,UGA,2017,55.08,111,53.09,144,52.78,63.16,37.99,82.10,59.01,72.09,41.64,56.64,70.67,60.26,28.70,52.82,45.07,57.27,45.96,26.79,58.75,53.74,75.58,72.54,20.05,64.19
Uganda,UGA,2016,54.84,111,53.43,139,52.78,63.16,38.26,80.33,58.63,71.42,45.32,53.96,72.95,60.91,28.53,49.91,45.07,56.37,44.97,26.91,57.76,53.74,73.62,77.33,20.10,64.59
Uganda,UGA,2015,55.75,106,54.98,130,52.78,63.16,39.35,80.02,58.83,72.72,50.36,57.47,73.58,63.53,29.25,48.10,44.31,57.92,44.90,26.72,56.62,57.94,73.42,85.31,20.15,64.72
Uganda,UGA,2014,55.55,107,54.57,131,52.78,63.16,37.31,79.29,58.14,72.28,50.36,59.32,73.58,63.88,28.92,45.34,45.18,59.04,44.62,26.44,55.31,57.94,72.10,85.31,19.92,64.98
Uganda,UGA,2013,55.34,108,54.17,131,52.78,57.89,36.36,78.15,56.30,72.43,48.64,62.00,75.54,64.65,28.64,47.41,45.18,59.04,45.07,26.15,53.83,57.94,71.77,85.31,19.68,64.52
Uganda,UGA,2012,54.66,109,53.84,130,52.78,47.37,36.23,77.42,53.45,74.48,48.74,62.51,75.96,65.42,29.41,46.80,45.18,59.04,45.11,26.10,52.22,57.94,71.85,85.31,19.42,63.99
Uganda,UGA,2011,54.85,109,52.24,134,52.78,47.37,37.58,76.69,53.61,74.44,49.68,62.82,76.17,65.78,30.55,44.63,45.18,60.37,45.18,25.99,50.49,50.47,71.29,85.31,21.20,60.91
Uganda,UGA,2010,55.01,105,51.95,135,52.78,47.37,37.86,77.11,53.78,74.12,50.35,63.13,77.20,66.20,30.57,44.13,45.18,60.37,45.06,24.95,48.64,50.47,70.50,85.31,22.58,61.24
Uganda,UGA,2009,55.38,103,51.14,133,52.78,52.63,36.09,77.21,54.68,74.51,53.56,63.65,76.17,66.97,29.71,44.31,43.47,60.52,44.50,24.53,46.70,50.47,69.82,85.31,20.96,60.18
Uganda,UGA,2008,55.50,106,50.50,137,52.78,52.63,34.74,75.86,54.00,74.69,53.78,63.75,76.17,67.10,30.99,46.66,43.47,60.52,45.41,23.92,44.70,53.50,68.48,85.31,19.36,58.21
Uganda,UGA,2007,55.03,105,49.33,141,47.22,52.63,34.46,74.71,52.26,74.32,54.50,63.75,76.17,67.19,32.91,45.84,43.47,60.37,45.65,22.98,42.65,53.50,66.69,85.31,18.54,55.65
Uganda,UGA,2006,52.82,109,48.26,142,27.78,52.63,34.33,73.78,47.13,74.22,54.50,62.92,76.06,66.93,32.03,41.30,44.93,59.40,44.42,22.10,40.59,53.50,65.11,85.31,17.73,53.48
Uganda,UGA,2005,50.83,116,47.20,144,27.78,52.63,32.43,68.26,45.28,74.92,54.68,58.60,75.75,65.99,31.60,35.70,44.93,52.72,41.24,20.82,38.52,53.50,63.67,85.31,17.09,51.45
Uganda,UGA,2004,51.18,116,45.61,144,27.78,52.63,30.12,77.32,46.96,74.99,54.68,54.69,75.75,65.03,32.88,37.97,44.93,50.42,41.55,20.28,36.43,48.13,62.46,85.31,16.46,50.20
Uganda,UGA,2003,50.85,113,44.66,147,27.78,52.63,30.66,81.58,48.16,74.99,54.68,52.52,75.75,64.49,31.50,32.79,44.93,50.42,39.91,19.67,34.31,48.13,61.69,85.31,14.88,48.62
Uganda,UGA,2002,51.09,112,43.61,147,27.78,52.63,30.26,80.96,47.91,74.99,54.21,55.10,75.75,65.01,30.37,35.69,44.93,50.42,40.35,19.11,32.22,48.13,59.66,85.31,13.38,47.44
Uganda,UGA,2001,52.23,110,43.53,147,27.78,52.63,30.26,83.14,48.45,75.65,54.21,58.19,80.21,67.07,30.23,39.12,44.93,50.42,41.17,18.17,30.20,53.27,57.79,85.31,12.27,47.70
Uganda,UGA,2000,52.05,113,42.78,151,27.78,52.63,29.99,79.81,47.55,78.47,54.21,58.19,80.21,67.77,30.23,39.12,44.93,49.05,40.83,17.81,28.35,53.27,56.62,85.31,11.19,46.91
Uganda,UGA,1999,52.37,107,42.47,149,27.78,73.68,29.44,58.48,47.35,76.88,56.70,58.08,80.41,68.02,30.68,42.04,44.93,49.27,41.73,17.80,26.76,53.27,55.54,85.31,10.15,48.49
Uganda,UGA,1998,52.37,106,43.28,145,27.78,73.68,29.44,58.48,47.35,76.88,56.70,58.08,80.41,68.02,30.68,42.04,44.93,49.27,41.73,16.93,25.47,62.62,54.31,87.05,9.14,47.44
Uganda,UGA,1997,51.73,108,42.67,146,27.78,73.68,29.44,58.48,47.35,76.88,56.70,58.08,80.41,68.02,31.70,33.40,44.93,49.27,39.83,16.59,24.55,62.62,53.49,87.05,8.16,46.25
Uganda,UGA,1996,51.72,108,42.12,145,27.78,73.68,29.44,58.48,47.35,76.50,57.16,57.88,80.41,67.99,31.70,33.40,44.93,49.27,39.83,16.22,24.01,62.62,52.71,87.05,7.21,45.07
Uganda,UGA,1995,50.48,112,41.61,146,27.78,73.68,29.44,58.48,47.35,77.13,57.60,51.91,69.33,63.99,31.70,33.40,44.93,50.44,40.12,15.19,23.87,62.62,52.22,87.05,6.29,44.02
