Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Uruguay,URY,2022,82.65,27,74.28,48,87.50,78.95,58.07,78.46,75.75,95.57,91.60,94.34,88.81,92.58,74.09,85.58,67.95,90.90,79.63,69.67,87.76,59.81,93.17,88.51,53.11,67.94
Uruguay,URY,2021,83.53,25,74.28,48,87.50,89.47,58.07,78.46,78.38,95.57,91.60,94.34,88.81,92.58,74.09,85.58,67.95,90.90,79.63,69.67,87.76,59.81,93.17,88.51,53.11,67.94
Uruguay,URY,2020,84.88,23,74.10,49,87.50,89.47,58.07,78.46,78.38,95.42,94.71,97.43,88.81,94.09,70.83,85.71,79.19,92.93,82.17,68.96,87.76,59.81,93.17,88.48,53.11,67.41
Uruguay,URY,2019,85.21,23,73.68,49,87.50,89.47,57.12,86.68,80.19,98.01,96.21,98.25,89.12,95.40,67.92,85.43,75.82,91.02,80.05,70.16,87.49,60.98,93.17,84.26,53.11,66.62
Uruguay,URY,2018,84.39,25,72.63,56,80.56,89.47,56.31,86.26,78.15,98.53,96.21,98.25,89.12,95.53,66.62,85.35,75.82,90.19,79.49,70.16,87.22,60.98,93.22,84.26,52.33,60.25
Uruguay,URY,2017,84.19,23,72.68,51,80.56,89.47,56.04,85.74,77.95,98.48,96.16,97.94,89.12,95.42,66.14,85.67,75.82,89.13,79.19,70.14,86.97,61.45,93.33,84.26,52.21,60.38
Uruguay,URY,2016,83.63,29,72.31,53,80.56,84.21,56.17,83.98,76.23,98.50,94.00,98.46,89.12,95.02,67.12,85.91,75.82,89.70,79.64,69.92,86.72,60.98,93.01,84.26,50.82,60.45
Uruguay,URY,2015,83.61,28,72.06,50,80.56,84.21,57.53,83.87,76.54,98.50,94.00,98.46,89.12,95.02,67.18,84.72,75.82,89.35,79.27,69.68,86.47,60.05,92.78,84.26,49.72,61.50
Uruguay,URY,2014,82.85,29,72.05,51,75.00,84.21,56.31,80.65,74.04,98.60,94.00,98.87,89.12,95.15,67.28,84.47,75.82,89.84,79.36,69.67,86.24,60.05,92.81,84.26,49.33,62.02
Uruguay,URY,2013,82.29,29,71.61,52,75.00,78.95,55.22,85.64,73.70,98.63,94.00,98.87,89.12,95.15,67.00,80.69,75.82,88.58,78.02,69.16,86.02,59.11,92.68,84.26,48.51,61.50
Uruguay,URY,2012,82.47,28,71.43,52,75.00,78.95,54.82,85.33,73.52,98.86,96.45,99.07,90.05,96.11,66.98,78.75,75.82,89.53,77.77,68.40,85.79,60.51,92.60,84.26,47.43,61.04
Uruguay,URY,2011,83.57,26,70.32,54,75.00,84.21,56.45,85.95,75.40,98.86,96.45,99.07,90.05,96.11,67.25,83.77,75.82,89.98,79.21,67.82,85.57,55.14,92.65,84.26,46.19,60.64
Uruguay,URY,2010,83.15,27,69.13,57,75.00,78.95,58.75,86.37,74.77,98.94,96.45,99.07,90.05,96.13,68.31,81.10,75.82,88.96,78.55,66.97,85.32,49.77,92.99,84.26,44.96,59.66
Uruguay,URY,2009,82.07,28,68.22,57,69.44,73.68,57.67,85.74,71.63,98.38,96.45,98.76,89.53,95.78,67.67,80.37,75.82,91.37,78.81,65.67,85.05,47.43,93.05,84.26,44.17,57.95
Uruguay,URY,2008,81.16,29,68.11,57,69.44,63.16,56.31,85.33,68.56,98.30,96.45,98.76,89.53,95.76,67.90,81.50,75.82,91.37,79.15,64.97,84.74,48.36,92.88,84.26,43.13,58.48
Uruguay,URY,2007,81.89,29,67.19,58,69.44,73.68,55.09,85.33,70.89,98.30,96.45,98.76,89.53,95.76,67.39,81.31,75.82,91.54,79.02,63.77,84.39,45.33,92.38,84.26,42.83,57.36
Uruguay,URY,2006,81.59,30,67.12,56,69.44,73.68,54.82,84.29,70.56,98.30,96.45,98.76,89.53,95.76,63.81,82.59,75.82,91.54,78.44,62.66,84.01,46.50,92.65,84.26,42.89,56.90
Uruguay,URY,2005,81.70,30,67.07,56,69.44,73.68,58.21,84.39,71.43,97.94,96.45,98.76,89.53,95.67,64.43,80.14,75.82,91.54,77.98,61.95,83.59,46.50,92.36,84.26,44.29,56.57
Uruguay,URY,2004,80.85,30,67.10,56,69.44,73.68,55.22,85.54,70.97,97.00,95.82,98.35,93.68,96.21,60.35,76.36,75.82,88.87,75.35,60.66,83.17,46.50,92.00,84.26,47.00,56.11
Uruguay,URY,2003,80.88,31,66.99,54,69.44,73.68,54.68,86.16,70.99,97.02,95.82,98.35,92.44,95.91,64.32,78.79,75.82,84.06,75.75,59.77,82.75,46.50,91.58,84.26,48.74,55.32
Uruguay,URY,2002,81.53,28,66.39,55,69.44,73.68,55.50,87.41,71.51,97.02,95.82,98.35,92.44,95.91,63.87,81.37,75.82,87.64,77.17,59.61,82.34,46.50,91.32,84.26,46.21,54.47
Uruguay,URY,2001,81.51,29,66.20,55,69.44,73.68,55.90,86.58,71.40,97.02,95.82,98.35,92.44,95.91,62.24,83.21,75.82,87.64,77.23,61.06,81.94,46.50,90.98,84.26,43.83,54.86
Uruguay,URY,2000,81.71,26,65.86,57,69.44,73.68,58.21,87.83,72.29,97.02,95.82,98.35,92.44,95.91,62.24,83.21,75.82,86.43,76.92,61.80,81.55,46.50,90.50,84.26,41.32,55.12
