Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
United States of America,USA,2022,84.59,23,84.52,20,87.50,89.47,80.46,80.85,84.57,93.78,88.09,97.22,86.84,91.48,72.69,64.49,80.97,92.77,77.73,88.31,86.31,56.78,95.17,86.41,78.63,100.00
United States of America,USA,2021,84.59,23,84.52,20,87.50,89.47,80.46,80.85,84.57,93.78,88.09,97.22,86.84,91.48,72.69,64.49,80.97,92.77,77.73,88.31,86.31,56.78,95.17,86.41,78.63,100.00
United States of America,USA,2020,83.15,25,84.36,20,87.50,89.47,80.46,80.85,84.57,93.26,86.23,96.09,86.84,90.60,72.64,65.07,70.16,89.22,74.27,87.34,86.31,56.78,95.17,86.41,78.63,99.87
United States of America,USA,2019,84.40,25,84.76,18,87.50,89.47,81.55,81.48,85.00,92.53,89.46,96.70,86.84,91.38,76.07,67.13,72.81,91.24,76.81,88.14,89.12,56.78,95.17,86.41,78.10,99.61
United States of America,USA,2018,83.83,28,84.60,17,70.83,89.47,81.68,80.96,80.74,93.20,90.07,97.53,86.84,91.91,78.25,72.92,72.81,91.36,78.84,87.81,88.85,57.01,95.27,86.41,77.58,99.28
United States of America,USA,2017,83.70,28,85.15,17,70.83,84.21,83.72,82.41,80.29,93.19,91.49,98.04,87.56,92.57,78.64,70.30,72.81,91.22,78.24,87.39,88.66,57.48,95.38,90.63,77.25,99.28
United States of America,USA,2016,84.83,26,85.27,17,70.83,73.68,83.58,82.10,77.55,96.10,92.75,99.18,96.37,96.10,77.74,72.54,78.95,94.13,80.84,87.10,88.66,57.71,95.10,92.39,76.62,99.28
United States of America,USA,2015,85.59,23,85.77,17,70.83,73.68,83.04,81.27,77.21,97.13,92.75,99.59,95.54,96.25,77.92,78.12,82.14,95.04,83.30,86.93,88.94,57.48,94.79,97.50,75.70,99.08
United States of America,USA,2014,85.34,23,85.59,17,70.83,73.68,81.68,81.58,76.95,97.21,92.75,99.69,95.54,96.30,77.69,76.18,82.14,95.04,82.76,86.58,89.22,56.78,94.59,97.50,75.34,99.08
United States of America,USA,2013,85.46,22,85.66,17,70.83,73.68,80.87,82.83,77.05,97.21,92.75,99.69,95.54,96.30,77.50,77.41,82.14,95.04,83.02,86.31,89.04,58.64,94.24,97.50,75.20,98.69
United States of America,USA,2012,85.48,20,85.16,17,70.83,73.68,80.60,83.14,77.06,97.08,92.79,99.28,95.54,96.17,78.65,77.20,82.14,94.84,83.21,86.10,89.04,58.18,93.93,95.67,74.63,98.55
United States of America,USA,2011,85.72,21,84.95,17,70.83,78.95,79.51,83.35,78.16,97.06,92.79,99.49,95.54,96.22,76.97,76.36,82.14,95.71,82.79,85.83,88.85,58.18,93.61,95.67,74.19,98.29
United States of America,USA,2010,85.53,22,85.06,17,70.83,78.95,81.68,83.45,78.73,97.16,93.00,99.59,95.54,96.32,77.40,73.27,82.14,93.30,81.52,85.68,88.66,60.28,93.49,95.67,73.67,97.96
United States of America,USA,2009,86.37,20,84.58,17,70.83,84.21,82.36,83.56,80.24,97.32,93.08,99.69,95.54,96.41,77.13,73.45,82.14,97.08,82.45,85.35,88.38,58.88,93.03,95.67,73.18,97.57
United States of America,USA,2008,87.01,19,84.47,17,70.83,84.21,85.21,86.06,81.58,96.69,92.19,99.69,95.34,95.98,79.90,76.19,80.06,97.73,83.47,85.98,87.73,58.41,92.40,95.67,72.87,98.23
United States of America,USA,2007,86.04,19,84.32,16,70.83,84.21,86.16,86.68,81.97,96.67,89.05,99.69,95.34,95.19,79.60,71.97,75.72,96.53,80.96,86.13,87.63,58.41,91.78,95.67,72.43,98.16
United States of America,USA,2006,84.90,22,83.83,18,70.83,73.68,84.67,86.47,78.91,95.32,87.72,99.69,95.34,94.52,78.61,74.33,75.72,96.47,81.28,85.95,87.07,57.01,91.09,95.67,71.98,98.03
United States of America,USA,2005,84.31,21,83.66,16,70.83,73.68,85.62,86.26,79.10,95.11,89.05,99.69,94.72,94.64,80.28,63.17,75.72,97.63,79.20,85.62,86.70,57.94,90.64,95.67,71.29,97.77
United States of America,USA,2004,84.79,21,83.70,14,70.83,73.68,88.33,90.63,80.87,95.16,85.89,99.69,94.72,93.86,85.55,59.67,75.72,97.63,79.64,85.17,86.70,59.58,90.34,95.67,70.98,97.44
United States of America,USA,2003,85.12,20,83.21,14,70.83,73.68,89.96,90.22,81.17,95.16,85.89,99.38,94.72,93.79,82.29,66.02,75.72,97.63,80.41,84.66,85.85,58.41,89.69,95.67,70.89,97.31
United States of America,USA,2002,86.04,20,83.14,14,70.83,73.68,91.45,89.80,81.44,93.89,90.43,99.07,94.72,94.53,85.05,70.17,75.72,97.63,82.14,84.32,85.67,59.35,89.17,95.67,70.79,97.04
United States of America,USA,2001,87.65,15,83.01,14,70.83,73.68,94.84,90.84,82.55,93.66,92.42,99.28,94.72,95.02,83.03,86.32,75.72,96.50,85.39,84.18,85.48,58.88,88.84,95.67,70.69,97.31
United States of America,USA,2000,88.12,14,83.08,14,70.83,73.68,96.88,91.68,83.27,95.35,93.66,99.49,93.68,95.54,83.03,86.32,75.72,97.18,85.56,84.19,85.11,60.05,88.49,95.67,70.60,97.44
United States of America,USA,1999,87.42,15,83.03,13,70.83,73.68,94.44,91.68,82.66,95.11,93.66,99.59,93.68,95.51,82.15,82.20,75.72,96.35,84.10,83.67,85.01,60.28,88.15,95.67,70.50,97.90
United States of America,USA,1998,87.43,15,83.33,10,70.83,73.68,94.44,91.68,82.66,95.16,93.66,99.59,93.68,95.52,82.15,82.20,75.72,96.35,84.10,83.03,85.00,60.28,88.06,95.67,73.37,97.90
United States of America,USA,1997,87.39,15,83.04,11,70.83,73.68,94.44,91.68,82.66,95.16,93.66,99.59,93.68,95.52,80.61,83.32,75.72,96.35,84.00,82.45,84.72,59.11,87.96,95.67,73.57,97.77
United States of America,USA,1996,87.39,15,82.91,11,70.83,73.68,94.44,91.68,82.66,95.08,93.66,99.59,93.68,95.50,80.61,83.32,75.72,96.35,84.00,81.89,83.97,59.58,87.72,95.67,73.77,97.77
United States of America,USA,1995,87.38,15,82.88,10,70.83,73.68,94.44,91.68,82.66,95.06,93.66,99.59,93.68,95.50,80.61,83.32,75.72,96.35,84.00,81.43,83.21,60.51,87.45,95.67,74.23,97.63
