Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Uzbekistan,UZB,2022,38.72,148,64.66,95,68.06,52.63,,0.00,40.23,61.66,51.81,26.06,6.74,36.56,35.77,59.54,39.96,22.21,39.37,50.50,76.17,71.26,69.31,59.38,52.12,73.85
Uzbekistan,UZB,2021,35.21,156,64.66,95,68.06,21.05,,0.00,29.70,61.66,51.81,26.06,6.74,36.56,35.77,59.54,39.96,22.21,39.37,50.50,76.17,71.26,69.31,59.38,52.12,73.85
Uzbekistan,UZB,2020,34.97,158,64.45,97,68.06,21.05,,0.00,29.70,62.29,51.50,25.03,10.67,37.37,29.58,55.70,43.19,22.87,37.84,49.56,76.17,71.26,69.31,59.39,52.12,73.32
Uzbekistan,UZB,2019,33.31,158,63.76,96,68.06,10.53,,0.00,26.19,61.38,49.13,22.55,5.28,34.59,29.93,58.63,45.76,22.29,39.15,49.57,75.94,71.26,69.31,55.98,52.12,72.14
Uzbekistan,UZB,2018,30.08,164,62.25,104,68.06,0.00,,0.00,22.69,57.03,44.53,19.46,6.63,31.91,29.30,58.40,36.69,18.14,35.63,48.91,75.66,71.26,68.72,48.53,50.64,72.01
Uzbekistan,UZB,2017,28.42,165,61.59,107,68.06,0.00,,0.00,22.69,57.37,34.25,19.05,1.76,28.11,27.93,59.58,34.30,16.10,34.48,48.29,75.31,71.26,68.28,47.28,49.61,71.09
Uzbekistan,UZB,2016,25.09,166,60.14,112,68.06,0.00,,0.00,22.69,54.74,18.71,9.68,2.18,21.33,27.58,58.87,24.90,13.70,31.26,47.81,74.91,71.26,67.70,40.46,48.70,70.17
Uzbekistan,UZB,2015,24.68,166,59.51,114,68.06,0.00,,0.00,22.69,54.69,19.18,7.62,2.18,20.92,25.64,56.84,24.90,14.39,30.44,47.09,74.45,71.26,67.08,39.94,46.82,69.91
Uzbekistan,UZB,2014,25.12,167,59.42,114,68.06,0.00,,0.00,22.69,54.59,21.01,7.83,2.18,21.40,26.97,58.86,24.90,14.39,31.28,46.15,73.97,71.26,66.78,42.47,46.55,68.73
Uzbekistan,UZB,2013,24.24,167,58.94,115,68.06,0.00,,0.00,22.69,54.27,21.22,8.14,2.18,21.45,23.08,53.54,23.37,14.39,28.59,45.25,73.49,71.26,66.52,42.47,46.06,67.54
Uzbekistan,UZB,2012,23.97,168,57.32,117,68.06,0.00,,0.00,22.69,53.96,20.84,4.94,3.21,20.74,22.68,53.89,23.37,14.03,28.49,44.27,73.01,71.26,66.15,34.21,45.57,66.75
Uzbekistan,UZB,2011,23.87,169,56.96,117,68.06,0.00,,0.00,22.69,53.96,20.84,5.15,3.21,20.79,24.16,52.25,22.14,14.03,28.15,43.29,72.55,71.26,66.37,34.21,44.54,66.49
Uzbekistan,UZB,2010,24.85,167,56.60,114,68.06,10.53,,0.00,26.19,53.96,20.84,5.05,1.35,20.30,24.70,49.81,23.78,14.00,28.07,42.47,72.11,71.26,66.73,34.21,44.07,65.31
Uzbekistan,UZB,2009,26.82,166,56.22,115,68.06,31.58,,0.00,33.21,54.46,20.84,4.84,0.10,20.06,25.97,45.15,23.78,13.84,27.18,41.66,71.67,71.26,66.21,34.21,43.51,65.05
Uzbekistan,UZB,2008,26.36,167,55.62,116,68.06,31.58,,0.00,33.21,54.46,20.84,4.74,0.10,20.04,25.80,39.95,23.78,13.84,25.84,40.57,71.21,71.26,64.99,34.21,42.87,64.26
Uzbekistan,UZB,2007,25.69,166,55.19,116,68.06,31.58,,0.00,33.21,53.98,19.96,4.63,0.10,19.67,23.61,36.82,22.55,13.84,24.20,39.30,70.74,71.26,64.43,34.21,43.07,63.34
Uzbekistan,UZB,2006,24.64,169,54.69,116,68.06,31.58,,0.00,33.21,53.95,18.27,4.63,0.10,19.24,23.30,28.26,20.49,13.84,21.47,37.93,70.25,71.26,63.52,34.21,42.44,63.21
Uzbekistan,UZB,2005,24.32,169,54.18,115,68.06,31.58,,0.00,33.21,53.95,20.35,5.25,0.10,19.92,20.46,24.75,20.49,13.66,19.84,36.85,69.75,71.26,61.87,34.21,42.25,63.07
Uzbekistan,UZB,2004,26.25,167,53.83,114,68.06,31.58,,0.00,33.21,53.11,27.21,5.77,0.10,21.55,22.56,34.92,24.78,13.66,23.98,35.85,69.24,71.26,62.56,34.21,41.63,62.02
Uzbekistan,UZB,2003,26.67,166,53.31,113,68.06,31.58,,0.00,33.21,53.11,27.21,5.77,0.10,21.55,24.45,38.09,24.78,13.66,25.24,34.76,68.74,71.26,62.14,34.21,41.23,60.84
Uzbekistan,UZB,2002,26.38,165,53.55,111,68.06,31.58,,0.00,33.21,53.11,25.20,5.77,0.10,21.05,23.61,42.99,18.97,13.96,24.88,34.23,68.27,76.64,61.85,34.21,40.12,59.53
Uzbekistan,UZB,2001,25.57,165,52.04,117,68.06,31.58,,0.00,33.21,53.11,22.60,4.43,0.10,20.06,24.22,38.03,18.97,12.55,23.44,33.74,67.82,69.39,61.76,34.21,39.01,58.34
Uzbekistan,UZB,2000,26.13,163,51.67,116,68.06,31.58,,0.00,33.21,53.24,28.47,5.15,0.10,21.74,24.22,38.03,18.97,12.55,23.44,33.24,67.41,69.39,61.44,34.21,37.93,58.08
Uzbekistan,UZB,1999,27.08,161,48.76,124,68.06,31.58,,0.00,33.21,53.47,29.64,5.15,0.10,22.09,21.70,50.56,18.97,12.55,25.94,32.81,67.05,49.30,61.94,34.21,37.93,58.08
