Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Venezuela,VEN,2022,31.41,161,66.44,84,87.50,0.00,12.08,62.75,40.58,62.26,43.37,24.30,10.16,35.02,9.69,33.49,22.73,8.64,18.64,,76.58,49.07,85.49,68.43,49.96,69.12
Venezuela,VEN,2021,31.41,161,66.44,84,87.50,0.00,12.08,62.75,40.58,62.26,43.37,24.30,10.16,35.02,9.69,33.49,22.73,8.64,18.64,,76.58,49.07,85.49,68.43,49.96,69.12
Venezuela,VEN,2020,30.91,165,66.44,84,87.50,0.00,12.08,62.75,40.58,60.39,37.61,25.54,19.90,35.86,10.04,33.01,13.35,8.73,16.28,,76.58,49.07,85.49,68.41,49.96,69.12
Venezuela,VEN,2019,28.82,165,66.35,83,87.50,0.00,10.99,42.56,35.26,59.40,37.09,25.54,26.53,37.14,12.37,33.28,5.12,5.50,14.07,,76.57,49.07,85.49,67.89,49.96,69.12
Venezuela,VEN,2018,31.97,161,66.38,84,87.50,0.00,9.63,66.70,40.96,59.97,41.94,26.78,30.26,39.74,13.08,37.04,5.12,5.68,15.23,,76.69,49.07,86.79,67.89,48.72,69.12
Venezuela,VEN,2017,30.70,161,66.30,84,87.50,0.00,9.23,30.28,31.75,63.41,48.34,30.79,34.40,44.24,17.05,38.64,3.47,5.30,16.11,,76.91,49.07,87.64,67.30,47.51,69.38
Venezuela,VEN,2016,35.11,157,67.46,72,87.50,0.00,9.63,31.43,32.14,67.97,62.20,38.11,38.24,51.63,18.91,43.65,15.81,7.85,21.56,,77.21,49.07,88.57,70.96,49.19,69.78
Venezuela,VEN,2015,33.62,161,67.54,69,87.50,0.00,10.45,31.84,32.45,68.64,59.37,39.75,16.68,46.11,19.26,44.61,18.70,6.66,22.31,,77.54,49.07,89.22,70.96,47.24,71.22
Venezuela,VEN,2014,33.95,162,67.58,70,87.50,5.26,10.99,30.70,33.61,69.01,64.09,44.49,0.83,44.60,19.10,47.14,18.70,9.55,23.62,,77.88,49.07,89.34,71.50,47.10,70.57
Venezuela,VEN,2013,34.61,161,67.55,69,87.50,5.26,11.13,32.05,33.98,70.68,69.37,46.76,0.83,46.91,20.71,42.57,18.70,9.79,22.94,,78.17,49.07,89.39,71.50,46.76,70.43
Venezuela,VEN,2012,38.31,153,67.78,64,87.50,5.26,13.30,31.63,34.42,77.67,76.24,56.64,0.62,52.80,21.58,43.60,35.21,10.43,27.70,,78.39,49.07,89.17,75.13,44.73,70.17
Venezuela,VEN,2011,38.95,152,67.62,61,87.50,5.26,18.45,33.09,36.08,77.88,76.24,58.19,0.62,53.23,22.26,42.24,35.21,10.43,27.54,,78.53,49.07,89.51,75.13,43.70,69.78
Venezuela,VEN,2010,38.84,152,67.26,61,87.50,5.26,18.86,33.40,36.26,78.23,76.36,58.70,1.14,53.61,21.97,38.96,35.21,10.43,26.64,,78.57,49.07,89.68,75.13,41.45,69.65
Venezuela,VEN,2009,39.75,148,67.13,62,87.50,10.53,18.86,34.03,37.73,79.01,76.41,59.73,1.45,54.15,23.70,38.52,37.41,9.82,27.36,,78.54,49.07,89.19,75.13,41.33,69.51
Venezuela,VEN,2008,40.27,145,66.97,62,81.94,21.05,19.81,36.42,39.81,78.83,76.41,59.84,1.45,54.13,22.21,37.82,37.41,10.06,26.88,,78.45,49.07,89.45,75.13,40.58,69.12
Venezuela,VEN,2007,40.67,145,66.66,61,81.94,21.05,19.67,37.46,40.03,79.32,76.34,60.25,1.45,54.34,23.45,39.50,37.41,10.22,27.64,,78.34,49.07,90.18,75.13,38.23,68.99
Venezuela,VEN,2006,41.13,145,66.05,59,75.00,10.53,20.90,56.30,40.68,80.29,76.59,62.10,1.45,55.11,24.15,39.03,37.41,9.80,27.60,,78.20,49.07,90.79,75.13,34.40,68.73
Venezuela,VEN,2005,41.87,141,63.92,66,75.00,10.53,20.90,57.54,40.99,82.32,75.76,62.72,4.77,56.39,25.90,39.20,37.41,10.40,28.23,,78.04,38.08,91.34,75.13,32.30,68.59
Venezuela,VEN,2004,43.63,135,64.34,63,75.00,10.53,21.85,58.38,41.44,82.42,76.35,62.72,18.24,59.93,25.02,36.22,37.41,19.42,29.52,,77.85,42.76,91.35,75.13,30.25,68.73
Venezuela,VEN,2003,47.02,126,63.83,62,75.00,52.63,20.76,44.85,48.31,83.92,76.35,62.00,19.38,60.41,25.00,38.35,37.41,28.56,32.33,,77.61,41.36,90.66,75.13,29.12,69.12
Venezuela,VEN,2002,47.51,123,63.45,61,75.00,52.63,22.39,42.04,48.01,84.85,78.77,62.82,21.87,62.07,24.61,37.71,37.41,30.08,32.45,,77.32,39.25,91.13,75.13,28.50,69.38
Venezuela,VEN,2001,54.68,100,63.83,59,75.00,52.63,28.49,81.17,59.32,84.92,81.07,70.96,31.19,67.04,32.58,49.03,37.41,31.71,37.68,,77.00,43.46,91.41,75.13,26.47,69.51
Venezuela,VEN,2000,55.27,96,63.29,59,75.00,52.63,32.16,82.83,60.65,87.83,82.40,71.37,28.29,67.47,32.58,49.03,37.41,31.71,37.68,,76.66,42.06,91.62,75.13,24.49,69.78
Venezuela,VEN,1999,58.06,88,63.75,59,75.00,52.63,38.26,44.95,52.71,90.96,83.01,80.23,51.09,76.32,28.15,53.51,44.95,53.98,45.15,,76.32,42.06,91.60,78.38,24.07,70.04
Venezuela,VEN,1998,63.74,66,63.68,59,69.44,52.63,38.26,44.95,51.32,91.78,85.66,91.45,89.95,89.71,28.15,53.51,59.43,59.63,50.18,,76.00,41.36,91.71,79.06,23.65,70.30
Venezuela,VEN,1997,64.74,63,64.02,58,69.44,52.63,38.26,44.95,51.32,91.91,87.52,93.41,89.95,90.70,31.62,52.57,61.17,63.40,52.19,,75.70,43.46,92.10,79.06,23.22,70.57
Venezuela,VEN,1996,64.75,62,63.92,57,69.44,52.63,38.26,44.95,51.32,91.91,87.52,93.51,89.95,90.72,31.62,52.57,61.17,63.40,52.19,,75.43,43.46,91.83,79.06,22.79,70.96
Venezuela,VEN,1995,64.75,60,63.80,54,69.44,52.63,38.26,44.95,51.32,91.91,87.52,93.51,89.95,90.72,31.62,52.57,61.17,63.40,52.19,,75.19,43.46,91.52,79.06,22.35,71.22
