Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Vietnam,VNM,2022,49.13,122,64.18,97,94.44,42.11,47.63,63.79,61.99,66.30,52.38,11.64,42.69,43.25,46.61,62.07,35.31,24.55,42.14,56.03,82.97,70.33,74.76,44.66,37.86,82.65
Vietnam,VNM,2021,48.55,124,64.18,97,87.50,42.11,47.63,63.79,60.25,66.30,52.38,11.64,42.69,43.25,46.61,62.07,35.31,24.55,42.14,56.03,82.97,70.33,74.76,44.66,37.86,82.65
Vietnam,VNM,2020,46.70,132,64.95,94,80.56,42.11,47.63,63.79,58.52,63.82,57.53,11.95,28.08,40.34,45.37,62.78,35.31,21.47,41.23,55.73,82.97,70.33,74.76,51.42,37.86,81.60
Vietnam,VNM,2019,46.67,132,64.86,94,80.56,31.58,45.45,64.31,55.47,64.31,56.75,11.53,38.86,42.86,41.48,64.91,34.47,25.85,41.68,55.37,82.80,70.33,74.76,51.42,37.86,81.47
Vietnam,VNM,2018,47.45,128,65.73,87,80.56,26.32,45.59,64.62,54.27,64.38,61.54,12.36,43.63,45.48,41.47,65.58,36.89,26.42,42.59,54.29,82.64,70.33,74.62,52.97,37.32,87.91
Vietnam,VNM,2017,48.19,128,65.79,86,80.56,26.32,46.54,64.62,54.51,64.38,62.98,13.49,43.63,46.12,40.25,69.05,35.62,30.78,43.93,53.22,82.50,71.26,74.39,54.89,36.79,87.45
Vietnam,VNM,2016,48.57,124,65.48,89,75.00,26.32,46.27,64.41,53.00,63.40,64.81,15.55,47.98,47.93,42.09,69.12,37.54,30.35,44.78,52.20,82.37,71.26,73.92,54.89,36.26,87.45
Vietnam,VNM,2015,46.76,127,65.17,88,75.00,15.79,45.59,61.60,49.50,62.56,64.81,15.55,44.87,46.95,43.07,65.81,36.08,30.35,43.83,51.22,82.26,72.43,73.34,54.89,35.74,86.33
Vietnam,VNM,2014,46.43,128,64.78,89,75.00,15.79,44.10,63.16,49.51,62.56,64.81,15.04,44.87,46.82,41.50,63.94,36.08,30.35,42.97,50.19,82.16,72.43,72.64,54.89,35.22,85.94
Vietnam,VNM,2013,46.25,128,64.07,91,68.06,15.79,42.74,66.70,48.32,62.56,64.81,14.73,44.87,46.74,38.89,69.47,36.08,30.35,43.70,49.25,82.06,70.56,71.91,54.89,34.70,85.15
Vietnam,VNM,2012,45.20,133,63.70,93,68.06,15.79,41.66,66.08,47.89,62.63,63.17,15.86,38.86,45.13,38.28,69.81,33.13,29.05,42.57,48.47,81.97,70.56,71.20,54.89,34.18,84.63
Vietnam,VNM,2011,45.18,135,62.10,94,68.06,15.79,44.37,64.72,48.23,62.76,63.28,16.07,38.86,45.24,37.80,68.22,33.13,29.05,42.05,47.69,81.87,61.92,70.61,54.89,33.66,84.03
