Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Vanuatu,VUT,2022,63.83,80,58.10,119,34.72,68.42,,0.00,34.38,94.11,87.05,93.82,81.24,89.05,41.10,80.41,59.09,91.62,68.06,32.36,73.88,78.27,50.43,85.41,28.26,
Vanuatu,VUT,2021,63.83,80,58.10,119,34.72,68.42,,0.00,34.38,94.11,87.05,93.82,81.24,89.05,41.10,80.41,59.09,91.62,68.06,32.36,73.88,78.27,50.43,85.41,28.26,
Vanuatu,VUT,2020,63.64,83,58.16,120,34.72,68.42,,0.00,34.38,93.72,87.05,89.80,81.24,87.95,41.28,82.87,59.09,91.09,68.58,32.69,73.88,78.27,50.43,85.40,28.26,
Vanuatu,VUT,2019,63.92,83,58.35,121,34.72,68.42,,0.00,34.38,93.38,86.27,92.89,84.25,89.20,38.62,85.08,59.09,89.95,68.19,34.12,73.61,78.27,50.43,85.40,28.26,
Vanuatu,VUT,2018,64.78,81,56.11,128,34.72,68.42,,0.00,34.38,93.61,88.67,94.13,88.81,91.30,40.40,83.43,64.97,85.86,68.66,33.98,73.32,66.36,50.39,85.40,27.18,
Vanuatu,VUT,2017,64.39,81,55.99,129,34.72,68.42,,0.00,34.38,94.18,89.93,93.82,89.12,91.76,37.56,78.59,64.97,86.98,67.02,33.91,73.04,66.36,50.52,85.40,26.70,
Vanuatu,VUT,2016,63.17,85,55.76,129,34.72,63.16,,0.00,32.63,93.41,89.93,93.00,89.02,91.34,36.55,74.78,64.97,85.84,65.53,33.27,72.76,66.36,50.57,85.40,26.23,
Vanuatu,VUT,2015,63.00,86,55.77,127,34.72,63.16,,0.00,32.63,91.25,89.93,93.00,89.02,90.80,37.37,74.08,64.97,85.84,65.56,32.92,72.48,66.36,50.93,85.40,26.53,
Vanuatu,VUT,2014,63.58,83,55.81,128,34.72,63.16,,0.00,32.63,91.35,89.21,92.38,86.22,89.79,47.17,77.27,64.97,83.89,68.32,33.34,72.20,66.36,51.19,85.40,26.38,
Vanuatu,VUT,2013,61.07,89,55.80,127,34.72,31.58,,0.00,22.10,91.35,89.21,92.38,86.22,89.79,48.49,87.89,64.97,83.89,71.31,33.28,71.92,66.36,51.59,85.40,26.23,
