Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Yemen,YEM,2022,20.62,167,53.34,145,13.89,52.63,15.20,55.98,34.43,28.45,10.72,19.46,5.91,16.13,4.52,11.99,20.84,7.83,11.30,,65.59,67.99,77.37,25.78,9.59,73.72
Yemen,YEM,2021,20.62,167,53.34,146,13.89,52.63,15.20,55.98,34.43,28.45,10.72,19.46,5.91,16.13,4.52,11.99,20.84,7.83,11.30,,65.59,67.99,77.37,25.78,9.59,73.72
Yemen,YEM,2020,19.83,169,52.29,151,13.89,52.63,15.20,55.98,34.43,28.81,10.61,18.02,7.36,16.20,3.58,10.74,12.77,8.41,8.88,,65.59,67.99,77.37,19.49,9.59,73.72
Yemen,YEM,2019,20.62,168,52.30,151,13.89,52.63,15.06,55.98,34.39,31.67,13.85,18.64,11.71,18.97,3.88,8.29,12.77,9.01,8.49,,65.49,67.99,77.37,19.49,9.59,73.85
Yemen,YEM,2018,19.92,168,52.48,152,13.89,52.63,15.06,55.36,34.24,28.68,10.44,16.48,11.71,16.83,5.05,3.53,18.76,7.45,8.70,,65.43,67.99,77.07,19.49,9.59,75.30
Yemen,YEM,2017,20.94,168,51.60,155,13.89,52.63,13.84,67.85,37.05,27.82,10.54,16.48,10.05,16.22,8.78,4.82,19.16,5.45,9.55,,65.42,67.99,76.91,15.17,8.94,75.16
Yemen,YEM,2016,20.62,168,53.16,142,13.89,52.63,14.38,68.47,37.34,28.89,10.68,17.10,8.91,16.39,8.64,7.80,9.37,6.69,8.12,,65.42,67.99,76.67,23.85,8.94,76.08
Yemen,YEM,2015,23.43,167,53.80,139,13.89,52.63,14.38,69.30,37.55,29.89,12.28,19.26,26.74,22.04,12.87,10.13,12.76,7.02,10.69,,65.41,67.99,76.32,25.49,8.94,78.65
Yemen,YEM,2014,34.03,161,55.76,129,13.89,52.63,25.10,70.97,40.65,67.68,41.90,50.05,25.49,46.28,14.41,10.42,21.88,13.98,15.17,,65.38,67.99,76.21,36.68,8.94,79.37
Yemen,YEM,2013,37.67,153,56.64,122,13.89,52.63,17.50,76.80,40.20,70.76,49.42,61.79,29.74,52.93,20.06,16.31,24.59,18.49,19.86,,65.29,72.66,75.61,38.37,8.94,78.98
