Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
South Africa,ZAF,2022,69.64,59,61.09,109,94.44,47.37,58.62,60.35,65.20,91.49,77.16,89.60,80.62,84.72,47.10,50.09,58.21,80.66,59.01,60.03,62.23,6.54,82.32,90.24,54.53,71.75
South Africa,ZAF,2021,69.64,59,61.09,109,94.44,47.37,58.62,60.35,65.20,91.49,77.16,89.60,80.62,84.72,47.10,50.09,58.21,80.66,59.01,60.03,62.23,6.54,82.32,90.24,54.53,71.75
South Africa,ZAF,2020,70.27,60,60.81,111,94.44,47.37,58.62,60.35,65.20,91.59,77.00,88.26,79.79,84.16,47.89,59.52,58.21,80.18,61.45,59.39,62.23,6.54,82.32,90.22,54.53,70.43
South Africa,ZAF,2019,72.10,58,60.98,111,94.44,47.37,57.94,67.64,66.85,92.08,79.78,88.26,88.50,87.15,48.92,58.97,60.17,81.14,62.30,60.81,61.77,6.54,82.32,90.22,54.53,70.70
South Africa,ZAF,2018,72.86,54,60.94,110,94.44,52.63,57.67,66.81,67.89,93.31,83.13,89.08,87.77,88.32,47.10,59.78,60.17,82.44,62.37,61.03,61.26,6.54,81.65,90.22,51.12,74.77
South Africa,ZAF,2017,71.66,57,59.23,117,94.44,42.11,57.80,67.53,65.47,93.23,82.90,88.16,86.84,87.78,46.89,58.77,60.17,81.05,61.72,61.01,60.66,6.54,80.07,82.67,49.07,74.57
South Africa,ZAF,2016,73.19,55,60.91,108,94.44,47.37,59.02,66.81,66.91,93.18,84.19,90.32,88.39,89.02,48.89,61.53,64.45,79.72,63.65,61.06,59.94,6.54,79.44,94.41,50.12,74.84
South Africa,ZAF,2015,73.80,53,60.86,110,94.44,52.63,64.18,67.33,69.65,93.38,84.19,90.32,87.15,88.76,47.72,60.08,64.45,79.72,62.99,61.20,59.00,6.54,78.90,94.41,50.32,75.62
South Africa,ZAF,2014,73.20,53,60.72,107,87.50,57.89,65.13,67.33,69.46,93.41,82.96,90.32,81.04,86.93,47.29,61.43,64.45,79.69,63.21,61.24,57.73,6.54,78.70,94.41,49.85,76.54
South Africa,ZAF,2013,73.11,51,60.19,109,87.50,47.37,66.08,71.07,68.00,94.44,83.29,90.32,81.04,87.27,48.61,63.45,64.45,79.69,64.05,61.27,56.11,5.61,78.66,94.41,48.42,76.87
South Africa,ZAF,2012,73.74,49,59.69,110,87.50,47.37,66.49,70.86,68.05,94.44,83.50,92.38,82.80,88.28,46.67,63.88,66.84,82.18,64.89,61.12,54.17,5.61,78.08,94.41,47.01,77.40
South Africa,ZAF,2011,73.91,50,59.17,109,87.50,47.37,65.81,70.24,67.73,94.44,84.54,92.48,81.97,88.36,49.22,64.88,67.25,81.26,65.65,60.98,51.99,5.61,77.24,94.41,45.74,78.25
South Africa,ZAF,2010,73.62,50,58.44,110,87.50,47.37,64.86,68.16,66.97,94.44,84.54,92.58,81.97,88.38,49.75,63.80,67.25,81.26,65.51,60.69,49.71,5.61,76.19,94.41,45.51,76.94
South Africa,ZAF,2009,73.93,47,55.88,117,87.50,52.63,62.69,68.68,67.87,94.02,84.15,93.51,80.21,87.97,51.67,62.07,67.92,82.06,65.93,60.41,47.45,6.54,75.47,80.71,45.06,75.49
