Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Zambia,ZMB,2022,61.68,88,51.74,154,70.83,57.89,45.05,70.76,61.13,74.66,62.50,69.00,79.38,71.38,30.04,65.61,53.64,60.82,52.53,35.14,61.88,20.33,78.24,80.61,27.21,58.74
Zambia,ZMB,2021,61.68,88,51.74,154,70.83,57.89,45.05,70.76,61.13,74.66,62.50,69.00,79.38,71.38,30.04,65.61,53.64,60.82,52.53,35.14,61.88,20.33,78.24,80.61,27.21,58.74
Zambia,ZMB,2020,59.27,94,50.21,159,70.83,57.89,45.05,70.76,61.13,71.87,60.92,60.14,86.63,69.89,30.53,61.76,44.93,49.87,46.77,35.03,61.88,20.33,78.24,70.79,27.21,57.95
Zambia,ZMB,2019,61.08,93,51.49,156,65.28,57.89,45.86,80.02,62.26,71.87,69.88,62.82,82.18,71.69,32.10,62.09,43.96,59.04,49.30,36.06,61.31,20.33,78.24,80.66,27.21,56.64
Zambia,ZMB,2018,59.89,98,52.48,153,65.28,57.89,46.68,80.23,62.52,71.47,66.37,65.50,56.79,65.03,33.11,66.13,48.10,61.08,52.10,36.32,60.61,20.33,77.48,88.46,26.71,57.42
Zambia,ZMB,2017,60.21,94,52.01,153,65.28,57.89,48.30,76.48,61.99,69.49,54.47,64.88,70.57,64.85,33.91,67.35,59.39,54.55,53.80,36.13,59.74,20.33,76.51,88.46,26.21,56.70
Zambia,ZMB,2016,60.24,93,51.62,150,51.39,52.63,49.12,76.69,57.46,73.60,58.36,66.94,80.73,69.90,35.16,67.28,45.18,65.84,53.37,36.04,58.66,20.33,75.58,88.46,25.71,56.57
Zambia,ZMB,2015,63.69,83,51.33,151,51.39,57.89,48.44,75.23,58.24,78.33,70.89,73.64,80.10,75.74,36.79,67.46,52.04,72.05,57.08,35.92,57.30,20.33,74.58,88.46,25.21,57.49
Zambia,ZMB,2014,64.84,78,51.67,150,51.39,63.16,48.58,80.23,60.84,79.83,71.04,74.97,80.10,76.49,37.57,67.56,52.04,71.57,57.19,35.95,55.61,23.83,73.49,88.46,24.93,59.40
Zambia,ZMB,2013,64.31,76,51.25,146,51.39,57.89,48.03,75.96,58.32,80.07,67.77,76.52,80.10,76.12,38.07,73.22,52.04,70.69,58.50,35.69,53.58,23.83,72.17,88.46,24.66,60.38
Zambia,ZMB,2012,67.26,65,50.18,147,51.39,57.89,51.15,76.48,59.23,80.15,69.57,81.15,89.12,80.00,38.45,77.77,58.61,75.36,62.55,35.36,51.26,23.83,70.81,86.86,24.38,58.74
Zambia,ZMB,2011,66.75,67,49.33,149,51.39,57.89,53.19,75.03,59.37,81.23,69.57,79.20,89.12,79.78,35.30,74.71,58.61,75.73,61.09,34.60,48.69,23.83,69.21,86.86,24.10,58.02
Zambia,ZMB,2010,66.00,71,48.42,151,51.39,52.63,51.70,76.69,58.10,80.61,69.34,81.87,85.28,79.28,32.22,74.83,58.61,76.83,60.62,34.17,45.95,23.83,67.87,86.86,23.82,56.44
Zambia,ZMB,2009,66.56,67,47.30,153,51.39,52.63,53.05,76.80,58.47,81.48,70.22,83.42,85.28,80.10,33.22,75.92,58.61,76.65,61.10,32.93,43.10,26.17,66.32,86.86,23.62,52.10
Zambia,ZMB,2008,66.63,66,46.65,154,51.39,52.63,53.46,74.82,58.07,80.41,70.22,83.52,87.25,80.35,34.70,73.96,58.61,78.58,61.46,31.85,40.26,26.17,64.24,86.86,23.41,53.75
Zambia,ZMB,2007,66.53,65,45.52,154,51.39,52.63,53.19,75.44,58.16,80.31,70.22,83.42,88.60,80.64,34.77,71.75,58.61,78.08,60.80,30.99,37.51,26.17,62.64,86.86,23.20,51.25
Zambia,ZMB,2006,65.98,65,44.43,155,51.39,52.63,50.07,74.19,57.07,80.16,70.22,84.35,88.60,80.83,31.66,71.76,58.61,78.08,60.03,30.03,34.94,26.17,60.92,86.86,22.03,50.07
Zambia,ZMB,2005,65.33,65,43.56,154,51.39,52.63,49.93,72.84,56.70,79.90,70.22,84.35,88.60,80.77,30.57,66.59,58.61,78.32,58.52,29.13,32.59,26.87,59.88,86.86,20.88,48.69
Zambia,ZMB,2004,65.09,67,42.88,155,51.39,52.63,48.17,78.98,57.79,78.11,70.22,82.90,86.63,79.47,30.50,68.26,58.61,74.70,58.02,28.34,30.45,26.87,58.82,86.86,19.65,49.15
Zambia,ZMB,2003,65.54,64,46.26,141,51.39,52.63,48.17,85.02,59.30,78.11,70.22,82.90,86.63,79.47,29.26,68.81,58.61,74.70,57.84,27.58,28.53,55.37,58.20,86.86,18.44,48.82
Zambia,ZMB,2002,66.46,61,45.66,142,51.39,73.68,48.03,85.54,64.66,78.11,70.22,82.90,86.63,79.47,28.87,58.84,58.61,74.70,55.25,26.83,26.81,55.37,57.14,86.86,17.25,49.34
Zambia,ZMB,2001,65.99,63,42.69,152,51.39,73.68,48.44,86.68,65.05,79.41,70.38,82.18,82.59,78.64,26.61,65.12,54.45,70.96,54.28,26.51,25.34,39.02,55.34,86.86,16.75,49.01
Zambia,ZMB,2000,64.81,66,42.17,153,51.39,73.68,48.30,84.50,64.47,79.41,66.89,81.46,74.92,75.67,26.61,65.12,54.45,70.96,54.28,26.04,24.19,39.02,53.82,86.86,16.26,49.01
Zambia,ZMB,1999,62.81,71,42.25,151,51.39,73.68,49.39,57.02,57.87,78.73,66.89,81.15,74.92,75.42,26.31,68.82,54.45,70.96,55.13,25.84,23.44,39.02,52.33,86.86,16.12,52.17
Zambia,ZMB,1998,62.75,69,41.97,150,51.39,73.68,49.39,57.02,57.87,78.73,66.89,81.15,74.92,75.42,26.31,68.82,54.45,70.21,54.95,25.51,23.10,39.02,50.66,86.86,15.97,52.69
Zambia,ZMB,1997,62.14,71,42.14,148,51.39,73.68,49.39,57.02,57.87,78.73,66.89,81.15,74.92,75.42,25.85,61.15,54.45,70.99,53.11,26.08,23.19,40.89,49.03,86.86,15.82,53.09
Zambia,ZMB,1996,62.11,71,41.98,147,51.39,73.68,49.39,57.02,57.87,78.64,66.89,81.77,74.92,75.55,25.85,61.15,54.45,70.20,52.91,25.90,23.70,40.89,47.25,86.86,15.67,53.61
Zambia,ZMB,1995,62.21,71,41.92,145,51.39,73.68,49.39,57.02,57.87,79.23,66.89,81.57,74.92,75.65,25.85,61.15,54.45,71.02,53.12,25.28,24.65,40.89,45.76,86.86,15.59,54.40
