Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Zimbabwe,ZWE,2022,44.68,134,47.61,166,76.39,26.32,31.75,57.96,48.10,68.68,33.01,38.00,72.85,53.13,19.91,43.60,23.78,43.91,32.80,28.05,57.30,36.21,71.13,78.42,36.82,25.36
Zimbabwe,ZWE,2021,44.68,134,47.61,167,76.39,26.32,31.75,57.96,48.10,68.68,33.01,38.00,72.85,53.13,19.91,43.60,23.78,43.91,32.80,28.05,57.30,36.21,71.13,78.42,36.82,25.36
Zimbabwe,ZWE,2020,44.57,135,47.81,166,76.39,26.32,31.75,57.96,48.10,68.65,36.63,38.41,66.32,52.51,18.96,42.68,25.59,45.19,33.11,27.30,57.30,36.21,71.13,82.89,36.82,23.00
Zimbabwe,ZWE,2019,45.28,136,47.98,166,76.39,26.32,32.56,60.15,48.85,67.28,34.15,39.75,68.60,52.45,19.48,44.96,23.53,50.25,34.55,28.73,56.84,36.21,71.13,82.89,36.82,23.26
Zimbabwe,ZWE,2018,47.11,130,50.05,159,76.39,26.32,32.70,60.15,48.89,68.39,36.59,47.17,72.02,56.04,20.06,49.76,23.53,52.31,36.41,30.13,56.29,50.23,70.44,82.89,35.88,24.51
Zimbabwe,ZWE,2017,46.74,131,50.72,157,76.39,26.32,33.11,42.35,44.54,68.36,38.74,42.84,79.59,57.38,19.68,50.04,24.50,58.94,38.29,29.53,55.57,50.23,69.48,90.39,34.97,24.84
Zimbabwe,ZWE,2016,44.94,137,49.07,160,76.39,10.53,32.97,60.25,45.03,67.94,35.66,40.58,59.59,50.94,20.09,51.84,28.04,55.43,38.85,28.97,54.61,52.80,68.44,79.09,34.10,25.49
Zimbabwe,ZWE,2015,44.79,138,49.92,157,76.39,0.00,33.65,61.19,42.81,68.54,39.21,42.53,60.62,52.73,19.64,51.88,26.64,57.16,38.83,29.11,53.19,52.80,67.59,88.29,33.25,25.23
Zimbabwe,ZWE,2014,44.61,136,49.26,158,76.39,5.26,31.21,60.15,43.25,68.54,38.74,43.15,60.62,52.76,17.86,49.94,26.64,56.86,37.83,29.09,51.09,52.80,67.08,88.29,32.41,24.05
Zimbabwe,ZWE,2013,44.09,140,48.63,159,76.39,0.00,30.26,51.93,39.64,66.70,41.34,46.34,55.75,52.53,17.38,50.91,36.45,55.64,40.09,28.98,48.27,52.80,66.42,88.29,31.56,24.11
Zimbabwe,ZWE,2012,43.68,141,46.49,163,76.39,0.00,29.99,53.80,40.04,64.31,40.58,44.59,60.73,52.55,17.13,48.63,35.14,52.90,38.45,28.95,44.78,52.80,65.22,79.22,31.33,23.13
Zimbabwe,ZWE,2011,43.46,139,45.15,165,76.39,0.00,29.44,56.09,40.48,64.08,40.58,44.59,60.73,52.50,16.18,45.25,35.14,53.02,37.40,26.48,40.80,52.80,64.24,79.22,30.45,22.08
Zimbabwe,ZWE,2010,42.58,141,43.83,166,76.39,0.00,28.36,51.09,38.96,64.24,40.58,43.87,60.73,52.35,15.56,42.04,35.14,53.02,36.44,24.36,36.59,52.80,63.83,79.22,29.57,20.43
Zimbabwe,ZWE,2009,40.30,145,42.31,170,76.39,10.53,26.32,47.87,40.28,61.92,35.55,36.15,60.73,48.59,15.58,40.76,26.66,45.20,32.05,21.37,32.50,52.80,63.76,79.22,28.71,17.81
Zimbabwe,ZWE,2008,37.15,156,41.94,170,76.39,10.53,28.09,45.16,40.04,61.89,33.81,34.09,45.70,43.87,15.79,39.85,14.84,39.62,27.52,19.54,28.87,52.80,64.46,79.22,27.85,20.83
Zimbabwe,ZWE,2007,35.23,158,41.99,166,76.39,10.53,25.24,19.04,32.80,62.56,34.75,34.50,45.70,44.38,17.72,41.91,14.84,39.62,28.52,23.22,25.96,52.80,66.50,79.22,27.02,19.19
Zimbabwe,ZWE,2006,35.48,158,41.89,164,70.83,10.53,27.27,20.92,32.39,62.56,34.98,34.50,45.70,44.43,18.45,45.52,14.84,39.62,29.61,24.04,23.92,52.80,67.50,79.22,26.19,19.58
Zimbabwe,ZWE,2005,34.95,158,41.42,163,70.83,10.53,27.54,21.12,32.51,62.53,35.27,34.60,45.70,44.53,18.12,38.73,14.84,39.62,27.82,24.79,22.78,52.80,68.59,79.22,25.37,16.36
Zimbabwe,ZWE,2004,35.43,157,41.27,162,70.83,10.53,28.09,19.77,32.30,64.23,35.27,34.19,45.70,44.85,22.43,40.00,14.84,39.32,29.15,25.94,22.45,52.80,69.23,79.22,24.57,14.65
Zimbabwe,ZWE,2003,36.35,157,41.64,156,70.83,10.53,25.92,25.81,33.27,66.81,35.27,36.46,45.70,46.06,23.94,42.37,14.84,37.75,29.72,27.07,22.69,52.80,70.23,79.22,23.78,15.70
Zimbabwe,ZWE,2002,36.04,155,42.44,153,65.28,10.53,26.32,27.16,32.32,66.81,37.55,36.46,45.70,46.63,25.19,33.70,14.84,42.99,29.18,30.47,23.30,52.80,71.00,79.22,24.19,16.10
Zimbabwe,ZWE,2001,36.61,154,43.11,151,65.28,10.53,28.36,28.20,33.09,66.81,37.55,37.90,42.80,46.26,26.38,37.69,14.84,42.99,30.47,32.20,24.21,52.80,71.96,79.22,24.78,16.62
Zimbabwe,ZWE,2000,43.37,136,42.99,148,65.28,31.58,38.81,28.62,41.07,68.64,45.73,41.61,42.80,49.69,26.38,37.69,46.70,46.57,39.34,32.00,25.41,52.80,72.49,79.22,23.28,15.70
Zimbabwe,ZWE,1999,51.73,110,44.82,142,65.28,31.58,48.03,57.44,50.58,65.85,52.25,50.88,36.48,51.36,36.90,49.40,58.87,67.84,53.25,32.65,26.92,52.80,73.69,74.74,22.58,30.35
Zimbabwe,ZWE,1998,51.79,108,45.20,140,65.28,31.58,48.03,57.44,50.58,63.53,52.25,53.86,36.48,51.53,36.90,49.40,58.87,67.84,53.25,32.91,28.80,52.80,74.61,74.74,21.94,30.62
Zimbabwe,ZWE,1997,52.63,103,46.06,135,65.28,31.58,48.03,57.44,50.58,63.07,52.25,55.20,36.48,51.75,40.57,54.95,58.87,67.84,55.56,32.55,31.03,52.80,75.14,79.10,21.30,30.49
Zimbabwe,ZWE,1996,52.62,104,46.31,131,65.28,31.58,48.03,57.44,50.58,63.07,52.25,55.10,36.48,51.72,40.57,54.95,58.87,67.84,55.56,32.24,33.54,52.80,74.93,79.10,20.66,30.88
Zimbabwe,ZWE,1995,52.51,103,46.42,131,65.28,31.58,48.03,57.44,50.58,62.39,52.04,54.69,36.48,51.40,40.57,54.95,58.87,67.84,55.56,30.67,36.29,52.80,74.14,79.10,20.03,31.93
