Name,ISO3,Index Year,Freedom score,Freedom rank,Prosperity score,Prosperity rank,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil_liberties,Political Rights,Legislative_constraints_on_the_executive,Political Freedom,Bureaucracy+Corruption,Security,Clarity_of_the_law,Judicial_independence_and_effectiveness,Legal Freedom,Income,Health,Inequality,Environment,Minority Rights,Education,Informality
Afghanistan,AFG,2022,17.85,170,36.74,172,19.44,10.53,,0.00,9.99,35.20,24.30,13.39,42.59,28.87,17.21,13.17,26.76,1.65,14.70,25.86,63.71,,66.62,39.15,10.14,14.98
Albania,ALB,2022,72.39,52,73.27,51,94.44,73.68,49.25,85.54,75.73,76.89,92.48,77.96,80.31,81.91,40.64,66.61,59.01,71.86,59.53,61.85,88.93,81.78,71.38,83.91,57.34,67.67
Algeria,DZA,2022,41.07,144,70.20,61,51.39,31.58,33.92,37.88,38.69,73.11,57.36,36.35,26.11,48.24,33.64,46.65,41.08,23.80,36.29,56.77,85.90,89.25,82.57,48.85,41.29,86.73
Angola,AGO,2022,47.54,126,52.04,153,75.00,31.58,28.22,55.88,47.67,67.86,59.80,63.23,21.45,53.09,28.67,50.00,42.13,46.63,41.86,45.89,56.83,33.88,84.48,62.95,22.72,57.56
Argentina,ARG,2022,64.79,74,76.55,41,75.00,57.89,43.01,32.15,52.02,94.07,82.58,95.06,77.62,87.33,38.79,62.24,53.09,65.98,55.02,68.93,85.44,54.91,90.74,91.86,70.24,73.72
Armenia,ARM,2022,65.34,73,69.19,67,93.06,78.95,62.55,0.00,58.64,92.60,90.75,88.88,61.14,83.34,45.29,47.47,58.77,64.65,54.05,60.29,82.47,94.86,62.21,74.08,52.19,58.21
Australia,AUS,2022,89.90,11,90.77,5,100.00,84.21,91.04,82.41,89.42,96.51,90.97,96.09,97.10,95.17,82.39,81.62,76.94,99.56,85.13,83.88,97.36,73.60,99.03,90.24,94.73,96.58
Austria,AUT,2022,86.70,16,84.66,19,100.00,84.21,91.72,84.18,90.03,96.62,92.00,93.51,90.57,93.17,77.65,82.92,58.03,89.04,76.91,85.50,93.61,83.18,91.01,72.02,69.15,98.16
Azerbaijan,AZE,2022,44.67,135,66.73,82,66.67,73.68,48.98,72.94,65.57,53.32,51.33,27.50,5.18,34.33,40.11,47.11,32.00,17.17,34.10,61.72,78.55,91.59,71.24,52.81,49.94,61.24
Bahamas,BHS,2022,66.88,71,72.84,53,70.83,52.63,62.42,54.32,60.05,,,,,,65.26,82.14,,,73.70,75.54,80.29,,91.97,61.98,57.34,69.91
Bahrain,BHR,2022,43.55,138,74.69,45,52.78,89.47,44.64,85.95,68.21,32.83,34.99,9.89,7.15,21.21,56.30,54.17,33.04,21.44,41.24,80.70,86.57,,85.75,44.75,63.39,86.99
Bangladesh,BGD,2022,38.18,149,63.46,100,40.28,52.63,17.23,51.20,40.33,66.91,44.62,41.71,12.44,41.42,29.60,44.75,23.82,32.96,32.78,45.98,78.07,78.04,62.18,78.10,31.94,69.91
Barbados,BRB,2022,77.12,42,75.88,44,62.50,73.68,58.07,62.64,64.23,95.07,92.41,94.13,72.95,88.64,66.75,87.11,67.34,92.77,78.49,60.52,90.09,,80.44,91.36,54.40,78.45
Belarus,BLR,2022,36.44,155,70.89,59,80.56,31.58,52.10,75.96,60.05,56.35,27.92,6.69,1.14,23.03,36.43,49.48,8.41,10.60,26.23,67.39,80.61,96.73,69.01,57.54,64.88,60.05
Belgium,BEL,2022,88.26,14,87.45,14,100.00,89.47,79.92,83.56,88.24,98.73,94.27,97.22,91.50,95.43,75.52,76.79,82.52,89.59,81.11,84.70,92.87,90.19,89.78,84.54,85.70,84.36
Belize,BLZ,2022,56.71,103,58.23,117,68.06,57.89,45.59,57.65,57.30,,,,,,38.53,73.72,,,56.12,46.80,81.59,29.21,90.81,61.98,40.19,57.03
Benin,BEN,2022,58.08,99,54.24,135,69.44,52.63,42.61,59.21,55.97,79.28,86.46,68.38,29.64,65.94,43.14,58.29,43.68,64.22,52.33,35.95,57.93,65.42,66.67,92.48,15.74,45.47
Bhutan,BTN,2022,70.25,58,60.65,112,77.78,21.05,59.70,62.75,55.32,90.99,72.59,67.66,83.32,78.64,72.94,84.10,66.17,83.89,76.78,56.09,76.60,66.36,70.01,52.27,23.59,79.63
Bolivia,BOL,2022,56.53,104,62.99,101,88.89,15.79,30.53,64.31,49.88,86.80,83.95,80.54,38.24,72.38,29.65,57.94,59.61,42.18,47.34,51.59,76.03,51.87,82.89,89.38,51.58,37.58
Bosnia and Herzegovina,BIH,2022,61.62,89,66.66,83,80.56,68.42,35.82,75.44,65.06,81.73,84.85,76.52,46.74,72.46,28.99,56.69,49.43,54.24,47.34,63.18,86.80,76.64,48.48,74.25,51.04,66.23
Botswana,BWA,2022,73.30,49,63.61,99,47.22,68.42,60.65,73.26,62.39,81.72,89.18,90.53,72.02,83.36,58.48,84.20,66.99,86.87,74.14,63.62,72.33,29.21,77.00,84.17,44.42,74.51
Brazil,BRA,2022,64.79,75,65.26,91,87.50,63.16,47.90,64.20,65.69,91.25,55.20,76.83,81.97,76.31,36.84,54.57,46.17,71.83,52.35,61.96,84.08,39.49,91.62,69.29,44.41,65.97
Brunei Darussalam,BRN,2022,68.96,62,74.49,47,40.28,68.42,45.73,68.78,55.80,,,,,,76.18,88.05,,,82.12,87.60,83.92,,98.52,61.98,44.87,70.04
Bulgaria,BGR,2022,73.91,48,65.42,89,100.00,63.16,58.75,82.31,76.05,88.02,88.89,86.20,85.18,87.07,42.90,73.67,48.77,69.06,58.60,70.47,79.45,59.58,44.02,75.49,55.75,73.19
Burkina Faso,BFA,2022,63.61,82,47.82,165,66.67,68.42,33.11,59.21,56.85,89.38,78.35,86.51,77.20,82.86,38.90,31.21,77.05,57.32,51.12,28.18,57.75,43.22,57.38,76.24,6.11,65.83
Burundi,BDI,2022,33.35,160,49.25,161,72.22,52.63,33.38,31.11,47.34,55.83,22.99,13.49,16.48,27.20,15.31,36.78,26.27,23.68,25.51,7.77,57.63,63.55,68.25,74.50,11.17,61.89
Cambodia,KHM,2022,39.15,147,56.34,127,70.83,52.63,28.09,72.22,55.94,57.70,40.20,18.64,7.67,31.05,29.24,61.72,20.09,10.83,30.47,39.76,72.82,69.63,63.21,73.14,20.01,55.85
Cameroon,CMR,2022,39.44,146,55.95,129,48.61,31.58,15.33,52.76,37.07,68.97,51.80,56.95,13.99,47.93,25.56,35.91,43.93,27.88,33.32,37.21,53.36,44.86,73.79,84.17,27.96,70.30
Canada,CAN,2022,87.86,15,87.70,11,100.00,84.21,86.70,80.65,87.89,96.17,95.34,97.01,77.51,91.51,82.28,83.36,80.51,90.55,84.18,83.36,94.65,75.93,97.49,87.49,80.07,94.88
Cape Verde,CPV,2022,78.71,36,62.39,104,76.39,84.21,66.62,74.61,75.46,92.01,92.37,90.63,89.53,91.13,59.29,82.66,57.41,78.80,69.54,47.08,78.63,54.67,74.75,91.86,27.35,
Central African Republic,CAF,2022,42.13,142,38.68,171,61.11,47.37,19.00,52.34,44.95,71.09,50.81,67.66,34.09,55.91,16.15,21.78,24.81,39.36,25.53,12.31,42.26,22.43,47.45,82.91,11.64,51.77
Chad,TCD,2022,34.71,157,46.84,168,56.94,63.16,14.38,51.30,46.45,55.35,32.58,35.02,15.13,34.52,15.54,37.35,30.31,9.51,23.18,20.30,43.80,66.12,53.65,73.42,6.59,63.99
Chile,CHL,2022,81.49,30,77.07,38,81.94,73.68,68.52,76.69,75.21,95.64,89.54,94.03,99.07,94.57,64.68,65.66,77.73,90.66,74.68,72.22,92.00,48.83,89.36,88.38,64.43,84.23
China,CHN,2022,36.68,154,61.43,107,73.61,21.05,47.35,68.26,52.57,26.42,30.22,5.25,10.78,18.17,56.26,54.64,28.37,17.97,39.31,65.32,85.97,64.49,54.53,29.01,37.78,92.90
Colombia,COL,2022,64.57,77,64.79,94,86.11,84.21,44.78,60.56,68.91,89.30,55.15,75.08,71.09,72.65,42.94,45.88,42.69,77.01,52.13,62.08,86.64,27.10,89.88,77.12,44.84,65.83
